brakePercentage,groupMetadataID,drivingMode,speedMps,time,throttlePercentage,steeringPercentage,signal.turnSignal
0,14b6bc9c-f064-11ee-b998-fb353e7798cd,COMPLETE_MANUAL,0,1696513562892590273,0,-1.8217434,TURN_NONE
0,14b6bc9c-f064-11ee-b998-fb353e7798cd,COMPLETE_MANUAL,0,1696513562944687271,0,-1.8217434,TURN_NONE
0,14b6bc9c-f064-11ee-b998-fb353e7798cd,COMPLETE_MANUAL,0,1696513562958721774,0,-1.8217434,TURN_NONE
0,14b6bc9c-f064-11ee-b998-fb353e7798cd,COMPLETE_MANUAL,0,1696513562992453454,0,-1.8217434,TURN_NONE
0,14b6bc9c-f064-11ee-b998-fb353e7798cd,COMPLETE_MANUAL,0,1696513563024685685,0,-1.8217434,TURN_NONE
0,14b6bc9c-f064-11ee-b998-fb353e7798cd,COMPLETE_MANUAL,0,1696513563058515748,0,-1.8217434,TURN_NONE
0,14b6bc9c-f064-11ee-b998-fb353e7798cd,COMPLETE_MANUAL,0,1696513563091016426,0,-1.8217434,TURN_NONE
0,14b6bc9c-f064-11ee-b998-fb353e7798cd,COMPLETE_MANUAL,0,1696513563125437595,0,-1.8217434,TURN_NONE
0,14b6bc9c-f064-11ee-b998-fb353e7798cd,COMPLETE_MANUAL,0,1696513563158026007,0,-1.8217434,TURN_NONE
0,14b6bc9c-f064-11ee-b998-fb353e7798cd,COMPLETE_MANUAL,0,1696513563188505879,0,-1.8217434,TURN_NONE
0,14b6bc9c-f064-11ee-b998-fb353e7798cd,COMPLETE_MANUAL,0,1696513563222848365,0,-1.8217434,TURN_NONE
0,14b6bc9c-f064-11ee-b998-fb353e7798cd,COMPLETE_MANUAL,0,1696513563256526884,0,-1.8217434,TURN_NONE
0,14b6bc9c-f064-11ee-b998-fb353e7798cd,COMPLETE_MANUAL,0,1696513563289902574,0,-1.8217434,TURN_NONE
0,14b6bc9c-f064-11ee-b998-fb353e7798cd,COMPLETE_MANUAL,0,1696513563320599872,0,-1.8217434,TURN_NONE
0,14b6bc9c-f064-11ee-b998-fb353e7798cd,COMPLETE_MANUAL,0,1696513563355005807,0,-1.8217434,TURN_NONE
0,14b6bc9c-f064-11ee-b998-fb353e7798cd,COMPLETE_MANUAL,0,1696513563388549986,0,-1.8217434,TURN_NONE
0,14b6bc9c-f064-11ee-b998-fb353e7798cd,COMPLETE_MANUAL,0,1696513563428488303,0,-1.8217434,TURN_NONE
0,14b6bc9c-f064-11ee-b998-fb353e7798cd,COMPLETE_MANUAL,0,1696513563454580180,0,-1.8217434,TURN_NONE
0,14b6bc9c-f064-11ee-b998-fb353e7798cd,COMPLETE_MANUAL,0,1696513563487891790,0,-1.8217434,TURN_NONE
0,14b6bc9c-f064-11ee-b998-fb353e7798cd,COMPLETE_MANUAL,0,1696513563519329204,0,-1.8217434,TURN_NONE
0,14b6bc9c-f064-11ee-b998-fb353e7798cd,COMPLETE_MANUAL,0,1696513563552633780,0,-1.8217434,TURN_NONE
0,14b6bc9c-f064-11ee-b998-fb353e7798cd,COMPLETE_MANUAL,0,1696513563586482268,0,-1.8217434,TURN_NONE
0,14b6bc9c-f064-11ee-b998-fb353e7798cd,COMPLETE_MANUAL,0,1696513563618650591,0,-1.8217434,TURN_NONE
0,14b6bc9c-f064-11ee-b998-fb353e7798cd,COMPLETE_MANUAL,0,1696513563652589718,0,-1.8217434,TURN_NONE
0,14b6bc9c-f064-11ee-b998-fb353e7798cd,COMPLETE_MANUAL,0,1696513563684596885,0,-1.8217434,TURN_NONE
0,14b6bc9c-f064-11ee-b998-fb353e7798cd,COMPLETE_MANUAL,0,1696513563718546672,0,-1.8217434,TURN_NONE
0,14b6bc9c-f064-11ee-b998-fb353e7798cd,COMPLETE_MANUAL,0,1696513563750747899,0,-1.8217434,TURN_NONE
0,14b6bc9c-f064-11ee-b998-fb353e7798cd,COMPLETE_MANUAL,0,1696513563784492344,0,-1.8217434,TURN_NONE
0,14b6bc9c-f064-11ee-b998-fb353e7798cd,COMPLETE_MANUAL,0,1696513563816809153,0,-1.8217434,TURN_NONE
0,14b6bc9c-f064-11ee-b998-fb353e7798cd,COMPLETE_MANUAL,0,1696513563850509605,0,-1.8217434,TURN_NONE
0,14b6bc9c-f064-11ee-b998-fb353e7798cd,COMPLETE_MANUAL,0,1696513563882561777,0,-1.8217434,TURN_NONE
0,14b6bc9c-f064-11ee-b998-fb353e7798cd,COMPLETE_MANUAL,0,1696513563917061904,0,-1.8217434,TURN_NONE
0,14b6bc9c-f064-11ee-b998-fb353e7798cd,COMPLETE_MANUAL,0,1696513563948576701,0,-1.8217434,TURN_NONE
0,14b6bc9c-f064-11ee-b998-fb353e7798cd,COMPLETE_MANUAL,0,1696513563982621867,0,-1.8217434,TURN_NONE
0,14b6bc9c-f064-11ee-b998-fb353e7798cd,COMPLETE_MANUAL,0,1696513564014557855,0,-1.8217434,TURN_NONE
0,14b6bc9c-f064-11ee-b998-fb353e7798cd,COMPLETE_MANUAL,0,1696513564048449931,0,-1.8217434,TURN_NONE
0,14b6bc9c-f064-11ee-b998-fb353e7798cd,COMPLETE_MANUAL,0,1696513564080689015,0,-1.8217434,TURN_NONE
0,14b6bc9c-f064-11ee-b998-fb353e7798cd,COMPLETE_MANUAL,0,1696513564114609122,0,-1.8217434,TURN_NONE
8.8,14b6bc9c-f064-11ee-b998-fb353e7798cd,COMPLETE_MANUAL,0,1696513564146595226,0,-1.8217434,TURN_NONE
12.2,14b6bc9c-f064-11ee-b998-fb353e7798cd,COMPLETE_MANUAL,0,1696513564180578706,0,-1.8217434,TURN_NONE
19.1,14b6bc9c-f064-11ee-b998-fb353e7798cd,COMPLETE_MANUAL,0,1696513564212581815,0,-1.8217434,TURN_NONE
25.9,14b6bc9c-f064-11ee-b998-fb353e7798cd,COMPLETE_MANUAL,0,1696513564246594249,0,-1.8217434,TURN_NONE
25.9,14b6bc9c-f064-11ee-b998-fb353e7798cd,COMPLETE_MANUAL,0,1696513564278478129,0,-1.8217434,TURN_NONE
35.7,14b6bc9c-f064-11ee-b998-fb353e7798cd,COMPLETE_MANUAL,0,1696513564312528425,0,-1.8217434,TURN_NONE
40.1,14b6bc9c-f064-11ee-b998-fb353e7798cd,COMPLETE_MANUAL,0,1696513564344538451,0,-1.8217434,TURN_NONE
40.1,14b6bc9c-f064-11ee-b998-fb353e7798cd,COMPLETE_MANUAL,0,1696513564378481913,0,-1.8217434,TURN_NONE
41.6,14b6bc9c-f064-11ee-b998-fb353e7798cd,COMPLETE_MANUAL,0,1696513564410694979,0,-1.8217434,TURN_NONE
44.1,14b6bc9c-f064-11ee-b998-fb353e7798cd,COMPLETE_MANUAL,0,1696513564444603913,0,-1.8217434,TURN_NONE
