groupMetadataID,event,time,position.alt_msl,position.latitude,position.longitude,type
1b6aca0e-efdf-11ee-b966-fb353e7798cd,ped on side of road,1695148098876705683,,,,['OBJ_DETECTION']
1b6aca0e-efdf-11ee-b966-fb353e7798cd,"nudged toward oncoming traffic, coincidental, oscillation or causation?",1695148179378193002,,,,"['NOT_DISENGAGEMENT', 'UNKNOWN', 'OBJ_DETECTION']"
1b6aca0e-efdf-11ee-b966-fb353e7798cd,,1695148254042230492,,,,['LOCALIZATION']
1b6aca0e-efdf-11ee-b966-fb353e7798cd,,1695148298696940017,,,,['LOCALIZATION']
1b6aca0e-efdf-11ee-b966-fb353e7798cd,,1695148329091793036,,,,['LOCALIZATION']
1b6aca0e-efdf-11ee-b966-fb353e7798cd,hit ctr line rumbles,1695148480165079567,,,,"['NOT_DISENGAGEMENT', 'LOCALIZATION']"
1b6aca0e-efdf-11ee-b966-fb353e7798cd,,1695148538341083866,,,,['OBJ_DETECTION']
1b6aca0e-efdf-11ee-b966-fb353e7798cd,,1695148713240821816,,,,['LOCALIZATION']
1b6aca0e-efdf-11ee-b966-fb353e7798cd,,1695148744154262030,,,,['LOCALIZATION']
1b6aca0e-efdf-11ee-b966-fb353e7798cd,both van and oncoming traffic on the ctr line,1695148947398553449,,,,"['OBJ_DETECTION', 'LOCALIZATION']"
1b6aca0e-efdf-11ee-b966-fb353e7798cd,over ctr line on r/h curve,1695148970911671347,,,,"['NOT_DISENGAGEMENT', 'LOCALIZATION']"
1b6aca0e-efdf-11ee-b966-fb353e7798cd,,1695148977696209232,,,,['LOCALIZATION']
1b6aca0e-efdf-11ee-b966-fb353e7798cd,,1695149174211013688,,,,"['OBJ_DETECTION', 'INTENTIONAL']"
1b6aca0e-efdf-11ee-b966-fb353e7798cd,pulling onto 4-lane considering traffic,1695149238658640716,,,,"['INTERSECTION', 'INTENTIONAL']"
1b6aca0e-efdf-11ee-b966-fb353e7798cd,oscillation,1695149279649148844,,,,['NOT_DISENGAGEMENT']
1b6aca0e-efdf-11ee-b966-fb353e7798cd,anchor for passing traffic,1695149354007240700,,,,"['OTHER', 'TRAFFIC_FAULT']"
1b6aca0e-efdf-11ee-b966-fb353e7798cd,,1695149386425326225,,,,['BY_MISTAKE']
1b6aca0e-efdf-11ee-b966-fb353e7798cd,taking exit ramp,1695149513393841736,,,,['INTENTIONAL']
1b6aca0e-efdf-11ee-b966-fb353e7798cd,merging with traffic from onramp,1695149553771363387,,,,"['OBJ_DETECTION', 'INTENTIONAL', 'TRAFFIC_FAULT']"
1b6aca0e-efdf-11ee-b966-fb353e7798cd,lost the red light,1695149745833452251,,,,['TRAFFIC_LIGHT']
1b6aca0e-efdf-11ee-b966-fb353e7798cd,,1695149756475535089,,,,['EOR']
