groupMetadataID,event,time,position.alt_msl,position.latitude,position.longitude,type
1bbbfbae-c839-11ee-a7fc-dd032dba19e8,"near vehicle, stop",1686166869000000000,269.7,39.35047516666667,-82.0861285,
1bbbfbae-c839-11ee-a7fc-dd032dba19e8,car cut us off/too close,1686166876000000000,271.8,39.35120916666666,-82.08744916666667,
1bbbfbae-c839-11ee-a7fc-dd032dba19e8,Lost traffic light,1686166979000000000,207.6,39.36225,-82.10575166666666,
1bbbfbae-c839-11ee-a7fc-dd032dba19e8,PULLED OVER,1686166987000000000,207.7,39.362527666666665,-82.105668,
1bbbfbae-c839-11ee-a7fc-dd032dba19e8,WAY TOO FAST 55 MPH,1686167291000000000,209.3,39.367545166666666,-82.09964716666667,
1bbbfbae-c839-11ee-a7fc-dd032dba19e8,PULLED OVER,1686167426000000000,215.3,39.38059116666667,-82.08264166666666,
1bbbfbae-c839-11ee-a7fc-dd032dba19e8,4 wheeler on side of road,1686167631000000000,223.2,39.39262683333333,-82.07018133333334,
1bbbfbae-c839-11ee-a7fc-dd032dba19e8,close to guardrail,1686167739000000000,264.9,39.398619333333336,-82.0508785,
1bbbfbae-c839-11ee-a7fc-dd032dba19e8,CLOSE TO RIGHT SIDE OF ROAD,1686167942000000000,207.5,39.39618466666667,-82.012556,
1bbbfbae-c839-11ee-a7fc-dd032dba19e8,CLOSE TO GUARD RAIL,1686167984000000000,209,39.39058716666667,-82.008184,
1bbbfbae-c839-11ee-a7fc-dd032dba19e8,road kill,1686168045000000000,206,39.3861805,-81.9964645,
