brakePercentage,groupMetadataID,drivingMode,speedMps,time,throttlePercentage,steeringPercentage,signal.turnSignal
0,240ebe64-f0d3-11ee-ba14-fb353e7798cd,COMPLETE_MANUAL,0.53,1701370568696587181,15.1,-19.755142,TURN_NONE
0,240ebe64-f0d3-11ee-ba14-fb353e7798cd,COMPLETE_MANUAL,0.55,1701370568730103860,15.1,-19.980412,TURN_NONE
0,240ebe64-f0d3-11ee-ba14-fb353e7798cd,COMPLETE_MANUAL,0.58,1701370568762991430,15.1,-20.166504,TURN_NONE
0,240ebe64-f0d3-11ee-ba14-fb353e7798cd,COMPLETE_MANUAL,0.63,1701370568794047642,15.1,-20.166504,TURN_NONE
0,240ebe64-f0d3-11ee-ba14-fb353e7798cd,COMPLETE_MANUAL,0.65,1701370568828099109,15.1,-20.421156,TURN_NONE
0,240ebe64-f0d3-11ee-ba14-fb353e7798cd,COMPLETE_MANUAL,0.7,1701370568862191056,15.1,-20.675808,TURN_NONE
0,240ebe64-f0d3-11ee-ba14-fb353e7798cd,COMPLETE_MANUAL,0.75,1701370568894086704,15.1,-20.969637,TURN_NONE
0,240ebe64-f0d3-11ee-ba14-fb353e7798cd,COMPLETE_MANUAL,0.8,1701370568928110785,15.1,-21.341822,TURN_NONE
0,240ebe64-f0d3-11ee-ba14-fb353e7798cd,COMPLETE_MANUAL,0.8,1701370568960322696,15.1,-21.606268,TURN_NONE
0,240ebe64-f0d3-11ee-ba14-fb353e7798cd,COMPLETE_MANUAL,0.82,1701370568994034233,15.1,-21.86092,TURN_NONE
0,240ebe64-f0d3-11ee-ba14-fb353e7798cd,COMPLETE_MANUAL,0.86,1701370569026160638,15.1,-21.978453,TURN_NONE
0,240ebe64-f0d3-11ee-ba14-fb353e7798cd,COMPLETE_MANUAL,0.9,1701370569060164923,15.1,-22.0666,TURN_NONE
0,240ebe64-f0d3-11ee-ba14-fb353e7798cd,COMPLETE_MANUAL,0.93,1701370569092073419,15.1,-22.095984,TURN_NONE
0,240ebe64-f0d3-11ee-ba14-fb353e7798cd,COMPLETE_MANUAL,0.98,1701370569126055735,15.1,-22.095984,TURN_NONE
0,240ebe64-f0d3-11ee-ba14-fb353e7798cd,COMPLETE_MANUAL,1.03,1701370569158153401,15.1,-22.095984,TURN_NONE
0,240ebe64-f0d3-11ee-ba14-fb353e7798cd,COMPLETE_MANUAL,1.05,1701370569192048723,15.1,-22.115574,TURN_NONE
0,240ebe64-f0d3-11ee-ba14-fb353e7798cd,COMPLETE_MANUAL,1.1,1701370569225080874,15.1,-22.135162,TURN_NONE
0,240ebe64-f0d3-11ee-ba14-fb353e7798cd,COMPLETE_MANUAL,1.15,1701370569258054835,15.1,-22.135162,TURN_NONE
0,240ebe64-f0d3-11ee-ba14-fb353e7798cd,COMPLETE_MANUAL,1.17,1701370569290138765,15.1,-22.135162,TURN_NONE
0,240ebe64-f0d3-11ee-ba14-fb353e7798cd,COMPLETE_MANUAL,1.21,1701370569324051359,15.1,-22.135162,TURN_NONE
0,240ebe64-f0d3-11ee-ba14-fb353e7798cd,COMPLETE_MANUAL,1.26,1701370569360321795,15.1,-22.135162,TURN_NONE
0,240ebe64-f0d3-11ee-ba14-fb353e7798cd,COMPLETE_MANUAL,1.3,1701370569388082687,15.1,-22.135162,TURN_NONE
0,240ebe64-f0d3-11ee-ba14-fb353e7798cd,COMPLETE_MANUAL,1.32,1701370569423172951,15.1,-22.135162,TURN_NONE
0,240ebe64-f0d3-11ee-ba14-fb353e7798cd,COMPLETE_MANUAL,1.36,1701370569454265464,15.1,-22.144957,TURN_NONE
0,240ebe64-f0d3-11ee-ba14-fb353e7798cd,COMPLETE_MANUAL,1.41,1701370569488356805,15.1,-22.135162,TURN_NONE
0,240ebe64-f0d3-11ee-ba14-fb353e7798cd,COMPLETE_MANUAL,1.43,1701370569522091249,15.1,-22.135162,TURN_NONE
0,240ebe64-f0d3-11ee-ba14-fb353e7798cd,COMPLETE_MANUAL,1.47,1701370569554308833,15.1,-22.135162,TURN_NONE
0,240ebe64-f0d3-11ee-ba14-fb353e7798cd,COMPLETE_MANUAL,1.51,1701370569588108643,15.1,-22.135162,TURN_NONE
0,240ebe64-f0d3-11ee-ba14-fb353e7798cd,COMPLETE_MANUAL,1.56,1701370569620173081,15.1,-22.135162,TURN_NONE
0,240ebe64-f0d3-11ee-ba14-fb353e7798cd,COMPLETE_MANUAL,1.58,1701370569654151227,15.1,-22.135162,TURN_NONE
0,240ebe64-f0d3-11ee-ba14-fb353e7798cd,COMPLETE_MANUAL,1.61,1701370569686245430,15.1,-22.135162,TURN_NONE
0,240ebe64-f0d3-11ee-ba14-fb353e7798cd,COMPLETE_MANUAL,1.65,1701370569720076863,15.1,-22.135162,TURN_NONE
