groupMetadataID,event,time,position.alt_msl,position.latitude,position.longitude,type
2f95c748-f009-11ee-b966-fb353e7798cd,oscilation,1696355206518806000,,,,['NOT_DISENGAGEMENT']
2f95c748-f009-11ee-b966-fb353e7798cd,oscilation,1696355380977776349,,,,
2f95c748-f009-11ee-b966-fb353e7798cd,hugging white line,1696355478199361893,,,,['LOCALIZATION']
2f95c748-f009-11ee-b966-fb353e7798cd,"2  semi trucks and 2 motorcyclings
",1696355601649895282,,,,['OBJ_DETECTION']
2f95c748-f009-11ee-b966-fb353e7798cd,touched rumbles on center lane,1696355617440271750,,,,['LOCALIZATION']
2f95c748-f009-11ee-b966-fb353e7798cd,over the center line,1696355722714520447,,,,['LOCALIZATION']
2f95c748-f009-11ee-b966-fb353e7798cd,,1696355887459552319,,,,['OBJ_DETECTION']
2f95c748-f009-11ee-b966-fb353e7798cd,,1696355987060648194,,,,['OBJ_DETECTION']
2f95c748-f009-11ee-b966-fb353e7798cd,,1696356095121814921,,,,['LOCALIZATION']
2f95c748-f009-11ee-b966-fb353e7798cd,,1696356157224527921,,,,['LOCALIZATION']
2f95c748-f009-11ee-b966-fb353e7798cd,go ahead of system to get ahead of approaching traffic,1696356369727456706,,,,['INTERSECTION']
2f95c748-f009-11ee-b966-fb353e7798cd,oscilation,1696356398667937924,,,,['NOT_DISENGAGEMENT']
2f95c748-f009-11ee-b966-fb353e7798cd,oscillation continues,1696356472108820928,,,,['NOT_DISENGAGEMENT']
2f95c748-f009-11ee-b966-fb353e7798cd,did NOT drag race passing traffic,1696356496297594911,,,,['NOT_DISENGAGEMENT']
2f95c748-f009-11ee-b966-fb353e7798cd,merging traffic throwing stop gate intermittently,1696356522308562532,,,,['OBJ_DETECTION']
2f95c748-f009-11ee-b966-fb353e7798cd,oscillation,1696356613174313172,,,,
2f95c748-f009-11ee-b966-fb353e7798cd,traffic conditions,1696356685552587380,,,,['INTENTIONAL']
2f95c748-f009-11ee-b966-fb353e7798cd,flinch at bridge,1696356782969704427,,,,['LOCALIZATION']
2f95c748-f009-11ee-b966-fb353e7798cd,map issue - avoid hitting curb,1696356894072742067,,,,['LOCALIZATION']
2f95c748-f009-11ee-b966-fb353e7798cd,,1696356897859867051,,,,['EOR']
