groupMetadataID,event,time,position.alt_msl,position.latitude,position.longitude,type
3343fd3c-eb87-11ee-b297-3b0ad9d5d6c6,,1702920035367470001,,,,['ROUND_ABOUT']
3343fd3c-eb87-11ee-b297-3b0ad9d5d6c6,car partking,1702920236341182687,,,,['TRAFFIC_FAULT']
3343fd3c-eb87-11ee-b297-3b0ad9d5d6c6,steady snow fall,1702920505219872496,,,,['OTHER']
3343fd3c-eb87-11ee-b297-3b0ad9d5d6c6,steering jerk,1702920562407576017,,,,['OTHER']
3343fd3c-eb87-11ee-b297-3b0ad9d5d6c6,steady snow fall does not see any obstacle ,1702920690924249155,,,,['OTHER']
3343fd3c-eb87-11ee-b297-3b0ad9d5d6c6,pre obstacle sensor block message ford cluster,1702920740954909716,,,,
3343fd3c-eb87-11ee-b297-3b0ad9d5d6c6,did not slow for car,1702920920645070280,,,,['OBJ_DETECTION']
3343fd3c-eb87-11ee-b297-3b0ad9d5d6c6,"made turn correctly
",1702921094306659189,,,,['OTHER']
3343fd3c-eb87-11ee-b297-3b0ad9d5d6c6,on coming tracffic,1702921167441901442,,,,['TRAFFIC_FAULT']
3343fd3c-eb87-11ee-b297-3b0ad9d5d6c6,,1702921272457643061,,,,['OBJ_DETECTION']
3343fd3c-eb87-11ee-b297-3b0ad9d5d6c6,,1702921309202202643,,,,['OBJ_DETECTION']
3343fd3c-eb87-11ee-b297-3b0ad9d5d6c6,semi not seen.,1702921376904524508,,,,['OBJ_DETECTION']
3343fd3c-eb87-11ee-b297-3b0ad9d5d6c6,,1702921661866370886,,,,['RAILROAD']
