groupMetadataID,event,time,position.alt_msl,position.latitude,position.longitude,type
3344a3c0-f502-11ee-8afa-cb629b0d53e6,,1708625910394930337,,,,['UNKNOWN']
3344a3c0-f502-11ee-8afa-cb629b0d53e6,,1708626008279451284,,,,['UNKNOWN']
3344a3c0-f502-11ee-8afa-cb629b0d53e6,,1708626082435176913,,,,['UNKNOWN']
3344a3c0-f502-11ee-8afa-cb629b0d53e6,no audible beep last disengagement,1708626109542410262,,,,['OTHER']
3344a3c0-f502-11ee-8afa-cb629b0d53e6,take turn wide took took close towards oncoming traffic,1708626156013848145,,,,['INTENTIONAL']
3344a3c0-f502-11ee-8afa-cb629b0d53e6,re-engagement failed 3x,1708626173310122745,,,,['OTHER']
3344a3c0-f502-11ee-8afa-cb629b0d53e6,c/l,1708626182830426981,,,,['LOCALIZATION']
3344a3c0-f502-11ee-8afa-cb629b0d53e6,,1708626282887051424,,,,['UNKNOWN']
3344a3c0-f502-11ee-8afa-cb629b0d53e6,oncoming traffic on right turn (avoid wide turn crossing c/l),1708626403639466874,,,,['INTENTIONAL']
3344a3c0-f502-11ee-8afa-cb629b0d53e6,oncoming traffic (avoid wide turn potentially crossing c/l),1708626460495252241,,,,['INTENTIONAL']
3344a3c0-f502-11ee-8afa-cb629b0d53e6,oncoming traffic,1708626543023271641,,,,['INTENTIONAL']
3344a3c0-f502-11ee-8afa-cb629b0d53e6,note: taking curve in rain at 30mph while recommended speed is 45mph,1708626608746652162,,,,['NOT_DISENGAGEMENT']
3344a3c0-f502-11ee-8afa-cb629b0d53e6,"traffic following us, 30mph speed is too low, relatively",1708626644346787307,,,,['INTENTIONAL']
3344a3c0-f502-11ee-8afa-cb629b0d53e6,pull off to allow traffic to pass,1708626684096637973,,,,['NOT_DISENGAGEMENT']
3344a3c0-f502-11ee-8afa-cb629b0d53e6,"car was stopped behind us, didn't want to allow programmed sequence to continue and hold them up",1708626945536256747,,,,['INTENTIONAL']
3344a3c0-f502-11ee-8afa-cb629b0d53e6,1x failed re-engagement,1708626955859282678,,,,['OTHER']
3344a3c0-f502-11ee-8afa-cb629b0d53e6,float/oscillation (lattitudinal),1708626979258830280,,,,['OTHER']
3344a3c0-f502-11ee-8afa-cb629b0d53e6,"system brake for mergining traffic, driver accelerated to disengage",1708627016341657239,,,,['OBJ_DETECTION']
3344a3c0-f502-11ee-8afa-cb629b0d53e6,,1708627073148193963,,,,['UNKNOWN']
3344a3c0-f502-11ee-8afa-cb629b0d53e6,re-engagement failed,1708627083854066022,,,,['OTHER']
3344a3c0-f502-11ee-8afa-cb629b0d53e6,flaot upon engagement to find center path,1708627122144464528,,,,['OTHER']
3344a3c0-f502-11ee-8afa-cb629b0d53e6,,1708627127735907577,,,,['UNKNOWN']
3344a3c0-f502-11ee-8afa-cb629b0d53e6,exit ramp (speed too slow),1708627220179333281,,,,['INTENTIONAL']
3344a3c0-f502-11ee-8afa-cb629b0d53e6,upon re-engagement - notable change in both latitude and longitude,1708627283806087270,,,,['OTHER']
3344a3c0-f502-11ee-8afa-cb629b0d53e6,,1708627335980340332,,,,['UNKNOWN']
3344a3c0-f502-11ee-8afa-cb629b0d53e6,re-engagement failed,1708627351872161653,,,,['OTHER']
3344a3c0-f502-11ee-8afa-cb629b0d53e6,,1708627447975622599,,,,['EOR']
