groupMetadataID,event,time,position.alt_msl,position.latitude,position.longitude,type
3441fc36-ecca-11ee-b297-3b0ad9d5d6c6,,1704481439525052541,,,,['ROUND_ABOUT']
3441fc36-ecca-11ee-b297-3b0ad9d5d6c6,out of parking space,1704481629258680672,,,,['TRAFFIC_FAULT']
3441fc36-ecca-11ee-b297-3b0ad9d5d6c6,,1704481715412035434,,,,['ROUND_ABOUT']
3441fc36-ecca-11ee-b297-3b0ad9d5d6c6,not slowing for car in front,1704481904810473778,,,,['OBJ_DETECTION']
3441fc36-ecca-11ee-b297-3b0ad9d5d6c6,did not slow for slowing traffic,1704482235333723438,,,,['OBJ_DETECTION']
3441fc36-ecca-11ee-b297-3b0ad9d5d6c6,traffic,1704482313127571641,,,,['TRAFFIC_FAULT']
3441fc36-ecca-11ee-b297-3b0ad9d5d6c6,tricycle pedestrian,1704482584522556066,,,,"['OTHER', 'OBJ_DETECTION']"
3441fc36-ecca-11ee-b297-3b0ad9d5d6c6,wide turn,1704482681893286456,,,,['OTHER']
3441fc36-ecca-11ee-b297-3b0ad9d5d6c6,,1704482999277227876,,,,['RAILROAD']
3441fc36-ecca-11ee-b297-3b0ad9d5d6c6,,1704483006089696304,,,,['EOR']
