groupMetadataID,event,time,position.alt_msl,position.latitude,position.longitude,type
3ea96640-ea37-11ee-b297-3b0ad9d5d6c6,,1694710283078098490,,,,['ROUND_ABOUT']
3ea96640-ea37-11ee-b297-3b0ad9d5d6c6,,1694710425943427587,,,,"['OBJ_DETECTION', 'LOCALIZATION']"
3ea96640-ea37-11ee-b297-3b0ad9d5d6c6,,1694710452919064242,,,,['OBJ_DETECTION']
3ea96640-ea37-11ee-b297-3b0ad9d5d6c6,rolling through stop with ped traffic in frontr,1694710644167476449,,,,"['OBJ_DETECTION', 'INTERSECTION']"
3ea96640-ea37-11ee-b297-3b0ad9d5d6c6,,1694710657176962861,,,,['LOCALIZATION']
3ea96640-ea37-11ee-b297-3b0ad9d5d6c6,bicycle enterring crosswlak,1694710882027282008,,,,['INTERSECTION']
3ea96640-ea37-11ee-b297-3b0ad9d5d6c6,cars not seen stopped at light,1694710913620247291,,,,"['OBJ_DETECTION', 'INTERSECTION']"
3ea96640-ea37-11ee-b297-3b0ad9d5d6c6,,1694711181659802505,,,,['OBJ_DETECTION']
3ea96640-ea37-11ee-b297-3b0ad9d5d6c6,,1694711347008720015,,,,['OBJ_DETECTION']
3ea96640-ea37-11ee-b297-3b0ad9d5d6c6,following traffic at left-turn,1694711410062435832,,,,"['OTHER', 'INTENTIONAL']"
3ea96640-ea37-11ee-b297-3b0ad9d5d6c6,riding the edge of the road,1694711522200055954,,,,"['NOT_DISENGAGEMENT', 'LOCALIZATION']"
3ea96640-ea37-11ee-b297-3b0ad9d5d6c6,swerve to the left,1694711540314798091,,,,['LOCALIZATION']
3ea96640-ea37-11ee-b297-3b0ad9d5d6c6,stop uphill,1694711552284009511,,,,['INTERSECTION']
3ea96640-ea37-11ee-b297-3b0ad9d5d6c6,,1694711690945197006,,,,['OBJ_DETECTION']
3ea96640-ea37-11ee-b297-3b0ad9d5d6c6,,1694711964626263133,,,,['RAILROAD']
3ea96640-ea37-11ee-b297-3b0ad9d5d6c6,,1694711971892408881,,,,"['NOT_DISENGAGEMENT', 'EOR']"
