groupMetadataID,event,time,position.alt_msl,position.latitude,position.longitude,type
47561998-d9c3-11ee-a158-97f8443fd730,10a,1690482292537591884,,,,['OUT_OF_SCOPE']
47561998-d9c3-11ee-a158-97f8443fd730,6,1690482485756169520,,,,['OUT_OF_SCOPE']
47561998-d9c3-11ee-a158-97f8443fd730,6,1690482538311627984,,,,['OUT_OF_SCOPE']
47561998-d9c3-11ee-a158-97f8443fd730,6,1690482561690546722,,,,['OUT_OF_SCOPE']
47561998-d9c3-11ee-a158-97f8443fd730,1 STIING AT TRAFFIC LIGHT,1690482591803232184,,,,"['OUT_OF_SCOPE', 'CRITICAL']"
47561998-d9c3-11ee-a158-97f8443fd730,1 ALWAYS GOING ON LINE,1690482667510370593,,,,['CRITICAL']
47561998-d9c3-11ee-a158-97f8443fd730,10C,1690482684332114379,,,,['OUT_OF_SCOPE']
47561998-d9c3-11ee-a158-97f8443fd730,6,1690482852379713511,,,,['OUT_OF_SCOPE']
47561998-d9c3-11ee-a158-97f8443fd730,6,1690482890797433336,,,,['OUT_OF_SCOPE']
47561998-d9c3-11ee-a158-97f8443fd730,6,1690482910349326419,,,,['OUT_OF_SCOPE']
47561998-d9c3-11ee-a158-97f8443fd730,10b,1690482951838917645,,,,['OUT_OF_SCOPE']
47561998-d9c3-11ee-a158-97f8443fd730,1 VEHICLE TRYING TI STOP,1690483065147677755,,,,['CRITICAL']
47561998-d9c3-11ee-a158-97f8443fd730, 6,1690483407840448303,,,,['OUT_OF_SCOPE']
47561998-d9c3-11ee-a158-97f8443fd730,3,1690483459712596528,,,,['CRITICAL']
47561998-d9c3-11ee-a158-97f8443fd730,3,1690483515331633931,,,,['CRITICAL']
47561998-d9c3-11ee-a158-97f8443fd730,1 HILL,1690483566663943878,,,,['CRITICAL']
47561998-d9c3-11ee-a158-97f8443fd730,6,1690483699009978072,,,,['OUT_OF_SCOPE']
47561998-d9c3-11ee-a158-97f8443fd730,6,1690483881732401832,,,,['OUT_OF_SCOPE']
47561998-d9c3-11ee-a158-97f8443fd730,6 REACTED AFTER PASSING THE PEDESTRAIN,1690483943879255425,,,,['OUT_OF_SCOPE']
