brakePercentage,groupMetadataID,drivingMode,speedMps,time,throttlePercentage,steeringPercentage,signal.turnSignal
0,53fad09e-f0f7-11ee-ba2f-fb353e7798cd,COMPLETE_AUTO_DRIVE,8.17,1704821055552524563,14.1,-4.7992163,TURN_NONE
0,53fad09e-f0f7-11ee-ba2f-fb353e7798cd,COMPLETE_AUTO_DRIVE,8.2,1704821055587328823,14.3,-4.8971596,TURN_NONE
0,53fad09e-f0f7-11ee-ba2f-fb353e7798cd,COMPLETE_AUTO_DRIVE,8.22,1704821055625243965,14.4,-5.0342803,TURN_NONE
0,53fad09e-f0f7-11ee-ba2f-fb353e7798cd,COMPLETE_AUTO_DRIVE,8.23,1704821055654546694,14.8,-5.2301664,TURN_NONE
0,53fad09e-f0f7-11ee-ba2f-fb353e7798cd,COMPLETE_AUTO_DRIVE,8.27,1704821055685596670,14.8,-5.367287,TURN_NONE
0,53fad09e-f0f7-11ee-ba2f-fb353e7798cd,COMPLETE_AUTO_DRIVE,8.3,1704821055719745326,14.8,-5.5337906,TURN_NONE
0,53fad09e-f0f7-11ee-ba2f-fb353e7798cd,COMPLETE_AUTO_DRIVE,8.31,1704821055751461470,14.8,-5.621939,TURN_NONE
0,53fad09e-f0f7-11ee-ba2f-fb353e7798cd,COMPLETE_AUTO_DRIVE,8.33,1704821055785743054,15.2,-5.6904993,TURN_NONE
0,53fad09e-f0f7-11ee-ba2f-fb353e7798cd,COMPLETE_AUTO_DRIVE,8.36,1704821055817805719,15.8,-5.7198825,TURN_NONE
0,53fad09e-f0f7-11ee-ba2f-fb353e7798cd,COMPLETE_AUTO_DRIVE,8.39,1704821055853401925,16.5,-5.768854,TURN_NONE
0,53fad09e-f0f7-11ee-ba2f-fb353e7798cd,COMPLETE_AUTO_DRIVE,8.41,1704821055883489154,16.6,-5.8374143,TURN_NONE
0,53fad09e-f0f7-11ee-ba2f-fb353e7798cd,COMPLETE_AUTO_DRIVE,8.44,1704821055919852984,16.6,-5.9059744,TURN_NONE
0,53fad09e-f0f7-11ee-ba2f-fb353e7798cd,COMPLETE_AUTO_DRIVE,8.47,1704821055949335954,16.6,-6.033301,TURN_NONE
