groupMetadataID,event,time,position.alt_msl,position.latitude,position.longitude,type
5a4bccf4-effe-11ee-b966-fb353e7798cd,not at the beginning of the path yet,1696352831086628547,,,,
5a4bccf4-effe-11ee-b966-fb353e7798cd,accel pedal down,1696352874433748523,,,,['NOT_DISENGAGEMENT']
5a4bccf4-effe-11ee-b966-fb353e7798cd,2 big trucks - twitched right not back left,1696353060344376987,,,,
5a4bccf4-effe-11ee-b966-fb353e7798cd,oscilation,1696353154553260040,,,,['LOCALIZATION']
5a4bccf4-effe-11ee-b966-fb353e7798cd,oscilation,1696353315286138660,,,,['LOCALIZATION']
5a4bccf4-effe-11ee-b966-fb353e7798cd,crossed center line,1696353482399036642,,,,['LOCALIZATION']
5a4bccf4-effe-11ee-b966-fb353e7798cd,over center line,1696353691181022355,,,,['LOCALIZATION']
5a4bccf4-effe-11ee-b966-fb353e7798cd,2.4 m and oncoming traffic,1696353711601369511,,,,['LOCALIZATION']
5a4bccf4-effe-11ee-b966-fb353e7798cd,,1696353724122971506,,,,['LOCALIZATION']
5a4bccf4-effe-11ee-b966-fb353e7798cd,,1696353770624322684,,,,['LOCALIZATION']
5a4bccf4-effe-11ee-b966-fb353e7798cd,tracked oncoming traffic in our lane,1696353817319695058,,,,['NOT_DISENGAGEMENT']
5a4bccf4-effe-11ee-b966-fb353e7798cd,oncoming traffic,1696353956532069894,,,,['LOCALIZATION']
5a4bccf4-effe-11ee-b966-fb353e7798cd,oscilation,1696354175319573865,,,,['NOT_DISENGAGEMENT']
5a4bccf4-effe-11ee-b966-fb353e7798cd,twitch to the left,1696354481685793758,,,,['NOT_DISENGAGEMENT']
5a4bccf4-effe-11ee-b966-fb353e7798cd,map curve correction,1696354546798247723,,,,['OTHER']
5a4bccf4-effe-11ee-b966-fb353e7798cd,,1696354550696209442,,,,['EOR']
