brakePercentage,groupMetadataID,drivingMode,speedMps,time,throttlePercentage,steeringPercentage,signal.turnSignal
0,69ab88ec-dc17-11ee-a158-97f8443fd730,COMPLETE_MANUAL,2.43,1693925813912902843,0,-90.21548,TURN_NONE
0,69ab88ec-dc17-11ee-a158-97f8443fd730,COMPLETE_MANUAL,2.43,1693925813936222204,0,-90.21548,TURN_NONE
0,69ab88ec-dc17-11ee-a158-97f8443fd730,COMPLETE_MANUAL,2.45,1693925813972889379,0,-90.21548,TURN_NONE
0,69ab88ec-dc17-11ee-a158-97f8443fd730,COMPLETE_MANUAL,2.46,1693925814002004977,0,-90.21548,TURN_NONE
0,69ab88ec-dc17-11ee-a158-97f8443fd730,COMPLETE_MANUAL,2.46,1693925814034569107,0,-90.21548,TURN_NONE
0,69ab88ec-dc17-11ee-a158-97f8443fd730,COMPLETE_MANUAL,2.47,1693925814072079541,0,-90.21548,TURN_NONE
0,69ab88ec-dc17-11ee-a158-97f8443fd730,COMPLETE_MANUAL,2.47,1693925814098141689,0,-90.21548,TURN_NONE
0,69ab88ec-dc17-11ee-a158-97f8443fd730,COMPLETE_MANUAL,2.47,1693925814132341571,0,-90.20568,TURN_NONE
0,69ab88ec-dc17-11ee-a158-97f8443fd730,COMPLETE_MANUAL,2.48,1693925814163912930,0,-90.166504,TURN_NONE
0,69ab88ec-dc17-11ee-a158-97f8443fd730,COMPLETE_MANUAL,2.49,1693925814198969048,0,-90.11753,TURN_NONE
0,69ab88ec-dc17-11ee-a158-97f8443fd730,COMPLETE_MANUAL,2.5,1693925814230122303,0,-90.078354,TURN_NONE
0,69ab88ec-dc17-11ee-a158-97f8443fd730,COMPLETE_MANUAL,2.5,1693925814266250270,0,-90.009796,TURN_NONE
0,69ab88ec-dc17-11ee-a158-97f8443fd730,COMPLETE_MANUAL,2.5,1693925814298454912,0,-89.91185,TURN_NONE
0,69ab88ec-dc17-11ee-a158-97f8443fd730,COMPLETE_MANUAL,2.51,1693925814334385411,0,-89.804115,TURN_NONE
0,69ab88ec-dc17-11ee-a158-97f8443fd730,COMPLETE_MANUAL,2.51,1693925814362490069,0,-89.58864,TURN_NONE
0,69ab88ec-dc17-11ee-a158-97f8443fd730,COMPLETE_MANUAL,2.52,1693925814396195155,0,-89.333984,TURN_NONE
0,69ab88ec-dc17-11ee-a158-97f8443fd730,COMPLETE_MANUAL,2.52,1693925814428175210,0,-89.333984,TURN_NONE
0,69ab88ec-dc17-11ee-a158-97f8443fd730,COMPLETE_MANUAL,2.52,1693925814470327742,0,-88.71694,TURN_NONE
0,69ab88ec-dc17-11ee-a158-97f8443fd730,COMPLETE_MANUAL,2.53,1693925814494790917,0,-88.71694,TURN_NONE
0,69ab88ec-dc17-11ee-a158-97f8443fd730,COMPLETE_MANUAL,2.53,1693925814532589172,0,-88.472084,TURN_NONE
0,69ab88ec-dc17-11ee-a158-97f8443fd730,COMPLETE_MANUAL,2.53,1693925814560228456,0,-88.21743,TURN_NONE
0,69ab88ec-dc17-11ee-a158-97f8443fd730,COMPLETE_MANUAL,2.54,1693925814603622773,0,-87.96278,TURN_NONE
0,69ab88ec-dc17-11ee-a158-97f8443fd730,COMPLETE_MANUAL,2.55,1693925814625924735,0,-87.96278,TURN_NONE
