brakePercentage,groupMetadataID,drivingMode,speedMps,time,throttlePercentage,steeringPercentage,signal.turnSignal
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,2.85,1699983348407571263,0,-16.405485,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,2.85,1699983348443951752,0,-16.405485,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,2.87,1699983348473138563,0,-15.945152,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,2.91,1699983348507078489,0,-15.1909895,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,2.91,1699983348539279113,0,-15.1909895,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,2.93,1699983348571197495,0,-14.89716,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,2.94,1699983348605160048,0,-14.544564,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,2.96,1699983348637097511,0,-14.270323,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,2.96,1699983348671201910,0,-13.996082,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,2.98,1699983348703252942,0,-13.516161,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,2.98,1699983348737040216,0,-13.516161,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,3,1699983348769154190,0,-12.507346,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,3.01,1699983348804108768,0,-12.507346,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,3.02,1699983348842752955,0,-11.674829,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,3.03,1699983348869201805,0,-11.126347,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,3.03,1699983348901380088,0,-11.126347,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,3.05,1699983348940179608,0,-10.763957,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,3.05,1699983348967111070,0,-9.960823,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,3.06,1699983349001600359,0,-9.960823,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,3.08,1699983349033411844,0,-9.255631,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,3.09,1699983349067200170,0,-9.000979,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,3.1,1699983349105880084,0,-8.677767,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,3.12,1699983349133417934,0,-8.472086,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,3.12,1699983349167190985,0,-8.472086,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,3.13,1699983349199653685,0,-8.315377,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,3.17,1699983349234104191,0,-8.099902,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,3.2,1699983349265785535,0,-7.757101,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,3.2,1699983349299183504,0,-7.6199803,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,3.2,1699983349329457265,0,-7.6199803,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,3.22,1699983349380735271,0,-7.5024486,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,3.24,1699983349398010661,0,-7.2771792,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,3.26,1699983349429695698,0,-7.12047,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,3.29,1699983349463242388,0,-6.6797256,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,3.29,1699983349495408358,0,-6.6797256,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,3.31,1699983349531042193,0,-6.2389812,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,3.31,1699983349564662084,0,-6.2389812,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,3.35,1699983349600938153,0,-5.7198825,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,3.36,1699983349633146572,0,-5.4162583,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,3.37,1699983349662204865,0,-5.4162583,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,3.39,1699983349693517367,0,-5.0244856,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,3.39,1699983349728117039,0,-4.505387,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,3.4,1699983349773319723,0,-4.113614,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,3.41,1699983349793160484,0,-3.770813,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,3.44,1699983349833359270,0,-3.1243877,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,3.44,1699983349861312776,0,-3.1243877,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,3.45,1699983349891311318,0,-2.850147,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,3.47,1699983349925255447,0,-2.7130265,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,3.49,1699983349957041201,0,-2.6150832,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,3.49,1699983349991030169,0,-2.5073457,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,3.5,1699983350024826558,0,-2.4191968,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,3.51,1699983350055797050,0,-2.2331047,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,3.52,1699983350090847436,0,-2.027424,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,3.53,1699983350129331021,0,-1.7042116,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,3.54,1699983350172879047,0,-1.4299706,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,3.56,1699983350193215636,0,-1.1753184,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,3.57,1699983350221590610,0,-0.9010774,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,3.58,1699983350256442572,0,-0.7639569,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,3.6,1699983350287401079,0,-0.64642507,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,3.6,1699983350321572791,0,-0.64642507,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,3.62,1699983350357374172,0,-0.48971596,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,3.62,1699983350385694347,0,-0.48971596,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,3.63,1699983350419536901,0,-0.39177278,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,3.65,1699983350453472446,0,-0.30362388,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,3.67,1699983350485228670,0,-0.16650343,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,3.67,1699983350536757284,0,-0.16650343,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,3.68,1699983350551317167,0,-0.048971597,TURN_NONE
0,6c415180-f0bd-11ee-b9fa-fb353e7798cd,COMPLETE_MANUAL,3.7,1699983350587634432,0,0,TURN_NONE
