groupMetadataID,event,time,position.alt_msl,position.latitude,position.longitude,type
71a18322-ecab-11ee-b297-3b0ad9d5d6c6,,1704400941864791653,,,,['ROUND_ABOUT']
71a18322-ecab-11ee-b297-3b0ad9d5d6c6,stopped at green light,1704401173497107658,,,,['UNKNOWN']
71a18322-ecab-11ee-b297-3b0ad9d5d6c6,red light was detected as green,1704401359627384767,,,,['TRAFFIC_LIGHT']
71a18322-ecab-11ee-b297-3b0ad9d5d6c6,vehicle past stop bar,1704401567907035549,,,,['TRAFFIC_FAULT']
71a18322-ecab-11ee-b297-3b0ad9d5d6c6,did not see car stopped at light,1704401852213471341,,,,['OBJ_DETECTION']
71a18322-ecab-11ee-b297-3b0ad9d5d6c6,blind turn,1704402204318015004,,,,['OTHER']
71a18322-ecab-11ee-b297-3b0ad9d5d6c6,does not see cars stopped at red light,1704402255475240864,,,,['OBJ_DETECTION']
71a18322-ecab-11ee-b297-3b0ad9d5d6c6,School bus stopped,1704402351978635575,,,,['OTHER']
71a18322-ecab-11ee-b297-3b0ad9d5d6c6,rubber banding,1704402552083449370,,,,['OTHER']
71a18322-ecab-11ee-b297-3b0ad9d5d6c6,School bus stop,1704402656705091641,,,,['OTHER']
71a18322-ecab-11ee-b297-3b0ad9d5d6c6,School bus Stop,1704402768133069778,,,,
