groupMetadataID,event,time,position.alt_msl,position.latitude,position.longitude,type
7228e03a-ebf0-11ee-b297-3b0ad9d5d6c6,,1703015124841209910,,,,['ROUND_ABOUT']
7228e03a-ebf0-11ee-b297-3b0ad9d5d6c6,partially blocked light from traffic,1703015212976163935,,,,['TRAFFIC_LIGHT']
7228e03a-ebf0-11ee-b297-3b0ad9d5d6c6,,1703015307538794837,,,,['OBJ_DETECTION']
7228e03a-ebf0-11ee-b297-3b0ad9d5d6c6,path,1703015421363065909,,,,['OTHER']
7228e03a-ebf0-11ee-b297-3b0ad9d5d6c6,path again,1703015433669813952,,,,['OTHER']
7228e03a-ebf0-11ee-b297-3b0ad9d5d6c6,,1703015443641964186,,,,['ROUND_ABOUT']
7228e03a-ebf0-11ee-b297-3b0ad9d5d6c6,system,1703015567822559529,,,,['UNKNOWN']
7228e03a-ebf0-11ee-b297-3b0ad9d5d6c6,wide tuen in program with traffic present,1703015682478830902,,,,['OTHER']
7228e03a-ebf0-11ee-b297-3b0ad9d5d6c6,line of traffic stopped for school bus in 35mph zone,1703015766251724667,,,,['OBJ_DETECTION']
7228e03a-ebf0-11ee-b297-3b0ad9d5d6c6,,1703016212583171941,,,,['OTHER']
7228e03a-ebf0-11ee-b297-3b0ad9d5d6c6,,1703016332813807405,,,,['INTERSECTION']
7228e03a-ebf0-11ee-b297-3b0ad9d5d6c6,traffic on shoulder unpredictable maneuver - parking parallel to roadway in driveway,1703016422157315673,,,,['OTHER']
7228e03a-ebf0-11ee-b297-3b0ad9d5d6c6,,1703016451300219708,,,,['OBJ_DETECTION']
7228e03a-ebf0-11ee-b297-3b0ad9d5d6c6,predicted car turning left was going to do a right-hand u-turn,1703016531870507088,,,,['NOT_DISENGAGEMENT']
7228e03a-ebf0-11ee-b297-3b0ad9d5d6c6,,1703016765243211774,,,,['RAILROAD']
7228e03a-ebf0-11ee-b297-3b0ad9d5d6c6,,1703016841973374728,,,,['EOR']
