groupMetadataID,event,time,position.alt_msl,position.latitude,position.longitude,type
75f83e28-eb77-11ee-b297-3b0ad9d5d6c6,oscillation,1702493761665179828,,,,['NOT_DISENGAGEMENT']
75f83e28-eb77-11ee-b297-3b0ad9d5d6c6,,1702493834964625550,,,,['ROUND_ABOUT']
75f83e28-eb77-11ee-b297-3b0ad9d5d6c6,jaywalking,1702493963634032141,,,,"['OBJ_DETECTION', 'NOT_DISENGAGEMENT']"
75f83e28-eb77-11ee-b297-3b0ad9d5d6c6,sun reflection appears green,1702494022772995533,,,,['TRAFFIC_LIGHT']
75f83e28-eb77-11ee-b297-3b0ad9d5d6c6,fault,1702494031258382737,,,,['UNKNOWN']
75f83e28-eb77-11ee-b297-3b0ad9d5d6c6,change lanes for stopped traffic,1702494058946944321,,,,['TRAFFIC_FAULT']
75f83e28-eb77-11ee-b297-3b0ad9d5d6c6,fault,1702494089588266727,,,,['UNKNOWN']
75f83e28-eb77-11ee-b297-3b0ad9d5d6c6,fault 2x,1702494125202989690,,,,['UNKNOWN']
75f83e28-eb77-11ee-b297-3b0ad9d5d6c6,fault (5th time),1702494143442653870,,,,
75f83e28-eb77-11ee-b297-3b0ad9d5d6c6,got honked at to turn right on red light,1702494386490146502,,,,['NOT_DISENGAGEMENT']
75f83e28-eb77-11ee-b297-3b0ad9d5d6c6,slow stop from traffic light,1702494476893920189,,,,['TRAFFIC_LIGHT']
75f83e28-eb77-11ee-b297-3b0ad9d5d6c6,AStuff car in opposing traffic,1702494711543858467,,,,['OBJ_DETECTION']
75f83e28-eb77-11ee-b297-3b0ad9d5d6c6,vehicle in front responded to with improved bahavior considering radar,1702494864226796883,,,,['NOT_DISENGAGEMENT']
75f83e28-eb77-11ee-b297-3b0ad9d5d6c6,oncoming traffic at left-handturn,1702494950990182935,,,,['TRAFFIC_FAULT']
75f83e28-eb77-11ee-b297-3b0ad9d5d6c6,probly steering rate at 0mph,1702495124540128763,,,,['UNKNOWN']
75f83e28-eb77-11ee-b297-3b0ad9d5d6c6,truck in traffic,1702495163549795856,,,,['OBJ_DETECTION']
75f83e28-eb77-11ee-b297-3b0ad9d5d6c6,multi disengagement,1702495179074959194,,,,
75f83e28-eb77-11ee-b297-3b0ad9d5d6c6,"0.02m 2d-SD, green localization and gps, blue LED but map position half a lane off",1702495256401924052,,,,['LOCALIZATION']
75f83e28-eb77-11ee-b297-3b0ad9d5d6c6,,1702495549112979624,,,,['RAILROAD']
75f83e28-eb77-11ee-b297-3b0ad9d5d6c6,prior to RR pedestrians on shoulder,1702495568780457231,,,,['NOT_DISENGAGEMENT']
