brakePercentage,groupMetadataID,drivingMode,speedMps,time,throttlePercentage,steeringPercentage,signal.turnSignal
0,7e3d64da-f12d-11ee-ba68-fb353e7798cd,EMERGENCY_MODE,3.91,1705944531201701173,13.7,-3.0754163,TURN_NONE
0,7e3d64da-f12d-11ee-ba68-fb353e7798cd,EMERGENCY_MODE,3.91,1705944531235687088,13.7,-2.6934378,TURN_NONE
0,7e3d64da-f12d-11ee-ba68-fb353e7798cd,EMERGENCY_MODE,3.91,1705944531267312082,13.7,-2.389814,TURN_NONE
0,7e3d64da-f12d-11ee-ba68-fb353e7798cd,EMERGENCY_MODE,3.92,1705944531307442037,13.7,-2.0666013,TURN_NONE
0,7e3d64da-f12d-11ee-ba68-fb353e7798cd,EMERGENCY_MODE,3.94,1705944531333969416,13.7,-1.6552399,TURN_NONE
0,7e3d64da-f12d-11ee-ba68-fb353e7798cd,EMERGENCY_MODE,3.95,1705944531371812959,13.7,-1.3418218,TURN_NONE
0,7e3d64da-f12d-11ee-ba68-fb353e7798cd,EMERGENCY_MODE,3.95,1705944531399327147,13.7,-1.3418218,TURN_NONE
0,7e3d64da-f12d-11ee-ba68-fb353e7798cd,EMERGENCY_MODE,3.96,1705944531439451874,13.7,-0.6268364,TURN_NONE
0,7e3d64da-f12d-11ee-ba68-fb353e7798cd,EMERGENCY_MODE,3.96,1705944531465489403,13.7,-0.6268364,TURN_NONE
0,7e3d64da-f12d-11ee-ba68-fb353e7798cd,EMERGENCY_MODE,3.97,1705944531505722799,13.7,-0.21547502,TURN_NONE
0,7e3d64da-f12d-11ee-ba68-fb353e7798cd,EMERGENCY_MODE,4,1705944531531495989,13.7,-0.21547502,TURN_NONE
0,7e3d64da-f12d-11ee-ba68-fb353e7798cd,EMERGENCY_MODE,4.01,1705944531569772309,13.7,-0.07835455,TURN_NONE
0,7e3d64da-f12d-11ee-ba68-fb353e7798cd,EMERGENCY_MODE,4.01,1705944531603433385,13.7,0.058765914,TURN_NONE
0,7e3d64da-f12d-11ee-ba68-fb353e7798cd,EMERGENCY_MODE,4.03,1705944531632334675,13.7,0.11753183,TURN_NONE
0,7e3d64da-f12d-11ee-ba68-fb353e7798cd,EMERGENCY_MODE,4.05,1705944531663430824,13.7,0.11753183,TURN_NONE
0,7e3d64da-f12d-11ee-ba68-fb353e7798cd,EMERGENCY_MODE,4.06,1705944531699674732,13.7,0.12732615,TURN_NONE
0,7e3d64da-f12d-11ee-ba68-fb353e7798cd,EMERGENCY_MODE,4.07,1705944531729576769,13.7,0.1469148,TURN_NONE
0,7e3d64da-f12d-11ee-ba68-fb353e7798cd,EMERGENCY_MODE,4.08,1705944531763705873,13.7,0.1469148,TURN_NONE
0,7e3d64da-f12d-11ee-ba68-fb353e7798cd,EMERGENCY_MODE,4.08,1705944531795468552,13.7,0.19588639,TURN_NONE
0,7e3d64da-f12d-11ee-ba68-fb353e7798cd,EMERGENCY_MODE,4.09,1705944531829584139,13.7,0.19588639,TURN_NONE
0,7e3d64da-f12d-11ee-ba68-fb353e7798cd,EMERGENCY_MODE,4.1,1705944531862531648,13.7,0.2546523,TURN_NONE
