brakePercentage,groupMetadataID,drivingMode,speedMps,time,throttlePercentage,steeringPercentage,signal.turnSignal
42.6,848e44a6-f134-11ee-ba6d-fb353e7798cd,EMERGENCY_MODE,0,1705947367023734441,0,-1.2242899,TURN_NONE
42.6,848e44a6-f134-11ee-ba6d-fb353e7798cd,EMERGENCY_MODE,0,1705947367062376703,0,-1.2242899,TURN_NONE
42.6,848e44a6-f134-11ee-ba6d-fb353e7798cd,EMERGENCY_MODE,0,1705947367090596248,0,-1.2242899,TURN_NONE
42.6,848e44a6-f134-11ee-ba6d-fb353e7798cd,EMERGENCY_MODE,0,1705947367124406305,0,-1.2242899,TURN_NONE
42.6,848e44a6-f134-11ee-ba6d-fb353e7798cd,EMERGENCY_MODE,0,1705947367155491616,0,-1.2242899,TURN_NONE
42.1,848e44a6-f134-11ee-ba6d-fb353e7798cd,EMERGENCY_MODE,0,1705947367189461427,0,-1.2047013,TURN_NONE
41.6,848e44a6-f134-11ee-ba6d-fb353e7798cd,EMERGENCY_MODE,0,1705947367221628951,0,-1.0871694,TURN_NONE
41.6,848e44a6-f134-11ee-ba6d-fb353e7798cd,EMERGENCY_MODE,0,1705947367256089962,0,-1.0871694,TURN_NONE
40.6,848e44a6-f134-11ee-ba6d-fb353e7798cd,EMERGENCY_MODE,0,1705947367287467169,0,-1.0577865,TURN_NONE
39.2,848e44a6-f134-11ee-ba6d-fb353e7798cd,EMERGENCY_MODE,0,1705947367321364655,0,-1.194907,TURN_NONE
38.7,848e44a6-f134-11ee-ba6d-fb353e7798cd,EMERGENCY_MODE,0,1705947367353255578,0,-1.4985309,TURN_NONE
37.2,848e44a6-f134-11ee-ba6d-fb353e7798cd,EMERGENCY_MODE,0,1705947367387616982,0,-2.3408422,TURN_NONE
35.7,848e44a6-f134-11ee-ba6d-fb353e7798cd,EMERGENCY_MODE,0,1705947367419576588,0,-2.3408422,TURN_NONE
34.3,848e44a6-f134-11ee-ba6d-fb353e7798cd,EMERGENCY_MODE,0,1705947367459452570,0,-3.1047993,TURN_NONE
33.8,848e44a6-f134-11ee-ba6d-fb353e7798cd,EMERGENCY_MODE,0,1705947367487656682,0,-3.9079335,TURN_NONE
31.8,848e44a6-f134-11ee-ba6d-fb353e7798cd,EMERGENCY_MODE,0,1705947367519722909,0,-4.750245,TURN_NONE
29.9,848e44a6-f134-11ee-ba6d-fb353e7798cd,EMERGENCY_MODE,0,1705947367551520429,0,-5.2987266,TURN_NONE
28.4,848e44a6-f134-11ee-ba6d-fb353e7798cd,EMERGENCY_MODE,0,1705947367585623556,0,-5.82762,TURN_NONE
28.4,848e44a6-f134-11ee-ba6d-fb353e7798cd,EMERGENCY_MODE,0,1705947367617622413,0,-6.630754,TURN_NONE
25.4,848e44a6-f134-11ee-ba6d-fb353e7798cd,EMERGENCY_MODE,0,1705947367653495326,0,-7.3163567,TURN_NONE
21,848e44a6-f134-11ee-ba6d-fb353e7798cd,EMERGENCY_MODE,0,1705947367681707812,0,-8.305583,TURN_NONE
19.1,848e44a6-f134-11ee-ba6d-fb353e7798cd,EMERGENCY_MODE,0,1705947367717800739,0,-9.059746,TURN_NONE
15.6,848e44a6-f134-11ee-ba6d-fb353e7798cd,EMERGENCY_MODE,0,1705947367753421608,0,-9.843291,TURN_NONE
7.3,848e44a6-f134-11ee-ba6d-fb353e7798cd,EMERGENCY_MODE,0,1705947367783443353,0,-10.999021,TURN_NONE
4.4,848e44a6-f134-11ee-ba6d-fb353e7798cd,EMERGENCY_MODE,0,1705947367815471556,0,-11.958864,TURN_NONE
2.4,848e44a6-f134-11ee-ba6d-fb353e7798cd,EMERGENCY_MODE,0,1705947367852624189,0,-13.222331,TURN_NONE
1.4,848e44a6-f134-11ee-ba6d-fb353e7798cd,EMERGENCY_MODE,0,1705947367881553639,0,-14.025465,TURN_NONE
0.4,848e44a6-f134-11ee-ba6d-fb353e7798cd,EMERGENCY_MODE,0,1705947367919587341,0,-14.662096,TURN_NONE
0.4,848e44a6-f134-11ee-ba6d-fb353e7798cd,EMERGENCY_MODE,0,1705947367947394277,0,-15.230166,TURN_NONE
