brakePercentage,groupMetadataID,drivingMode,speedMps,time,throttlePercentage,steeringPercentage,signal.turnSignal
0,870cfd32-f1b9-11ee-bad5-fb353e7798cd,COMPLETE_MANUAL,2.9,1708458086228075830,15.6,74.42703,TURN_NONE
0,870cfd32-f1b9-11ee-bad5-fb353e7798cd,COMPLETE_MANUAL,2.9,1708458086270619175,16,73.72184,TURN_NONE
0,870cfd32-f1b9-11ee-bad5-fb353e7798cd,COMPLETE_MANUAL,2.9,1708458086293332305,16.3,72.752205,TURN_NONE
0,870cfd32-f1b9-11ee-bad5-fb353e7798cd,COMPLETE_MANUAL,2.9,1708458086329770129,16.6,71.978455,TURN_NONE
0,870cfd32-f1b9-11ee-bad5-fb353e7798cd,COMPLETE_MANUAL,2.9,1708458086359457237,17.3,71.24388,TURN_NONE
0,870cfd32-f1b9-11ee-bad5-fb353e7798cd,COMPLETE_MANUAL,2.9,1708458086393555637,17.9,70.342804,TURN_NONE
0,870cfd32-f1b9-11ee-bad5-fb353e7798cd,COMPLETE_MANUAL,2.9,1708458086425578612,18,69.77473,TURN_NONE
0,870cfd32-f1b9-11ee-bad5-fb353e7798cd,COMPLETE_MANUAL,2.91,1708458086461790215,18.2,69.1283,TURN_NONE
0,870cfd32-f1b9-11ee-bad5-fb353e7798cd,COMPLETE_MANUAL,2.92,1708458086495395646,18.2,69.1283,TURN_NONE
0,870cfd32-f1b9-11ee-bad5-fb353e7798cd,COMPLETE_MANUAL,2.92,1708458086526555230,18.2,68.72674,TURN_NONE
0,870cfd32-f1b9-11ee-bad5-fb353e7798cd,COMPLETE_MANUAL,2.94,1708458086557694768,18.4,68.4427,TURN_NONE
0,870cfd32-f1b9-11ee-bad5-fb353e7798cd,COMPLETE_MANUAL,2.96,1708458086604508894,18.5,68.0999,TURN_NONE
0,870cfd32-f1b9-11ee-bad5-fb353e7798cd,COMPLETE_MANUAL,2.98,1708458086623877992,18.5,67.82566,TURN_NONE
0,870cfd32-f1b9-11ee-bad5-fb353e7798cd,COMPLETE_MANUAL,3,1708458086659848189,18.5,67.43389,TURN_NONE
0,870cfd32-f1b9-11ee-bad5-fb353e7798cd,COMPLETE_MANUAL,3.03,1708458086689837451,18.5,67.09109,TURN_NONE
0,870cfd32-f1b9-11ee-bad5-fb353e7798cd,COMPLETE_MANUAL,3.05,1708458086723740367,18.5,66.591576,TURN_NONE
0,870cfd32-f1b9-11ee-bad5-fb353e7798cd,COMPLETE_MANUAL,3.06,1708458086755618912,18.5,66.28796,TURN_NONE
0,870cfd32-f1b9-11ee-bad5-fb353e7798cd,COMPLETE_MANUAL,3.08,1708458086790036841,18.5,66.0333,TURN_NONE
0,870cfd32-f1b9-11ee-bad5-fb353e7798cd,COMPLETE_MANUAL,3.11,1708458086821697151,18.5,65.759056,TURN_NONE
0,870cfd32-f1b9-11ee-bad5-fb353e7798cd,COMPLETE_MANUAL,3.13,1708458086856676726,18.5,65.57297,TURN_NONE
0,870cfd32-f1b9-11ee-bad5-fb353e7798cd,COMPLETE_MANUAL,3.16,1708458086889310998,18.5,65.41626,TURN_NONE
0,870cfd32-f1b9-11ee-bad5-fb353e7798cd,COMPLETE_MANUAL,3.19,1708458086926053489,18.5,65.21058,TURN_NONE
0,870cfd32-f1b9-11ee-bad5-fb353e7798cd,COMPLETE_MANUAL,3.21,1708458086958235710,18.5,65.03428,TURN_NONE
0,870cfd32-f1b9-11ee-bad5-fb353e7798cd,COMPLETE_MANUAL,3.22,1708458086987340511,18.5,64.76984,TURN_NONE
0,870cfd32-f1b9-11ee-bad5-fb353e7798cd,COMPLETE_MANUAL,3.23,1708458087020367402,18.5,64.564156,TURN_NONE
