groupMetadataID,event,time,position.alt_msl,position.latitude,position.longitude,type
8c57e8ac-dbec-11ee-a158-97f8443fd730,,1693502171465090786,,,,['ROUND_ABOUT']
8c57e8ac-dbec-11ee-a158-97f8443fd730,jerk left,1693502308370548434,,,,['OTHER']
8c57e8ac-dbec-11ee-a158-97f8443fd730,,1693502315191671411,,,,['OBJ_DETECTION']
8c57e8ac-dbec-11ee-a158-97f8443fd730,rolling fwd,1693502483247726361,,,,['OTHER']
8c57e8ac-dbec-11ee-a158-97f8443fd730,,1693502504866518793,,,,"['OBJ_DETECTION', 'LOCALIZATION']"
8c57e8ac-dbec-11ee-a158-97f8443fd730,excessive stop,1693502690587287617,,,,['OTHER']
8c57e8ac-dbec-11ee-a158-97f8443fd730,,1693502724715643526,,,,['OBJ_DETECTION']
8c57e8ac-dbec-11ee-a158-97f8443fd730,,1693502863154438828,,,,"['OBJ_DETECTION', 'LOCALIZATION']"
8c57e8ac-dbec-11ee-a158-97f8443fd730,,1693503027278632022,,,,['OBJ_DETECTION']
8c57e8ac-dbec-11ee-a158-97f8443fd730,lost brake & throttle not steering,1693503316508211848,,,,['OTHER']
8c57e8ac-dbec-11ee-a158-97f8443fd730,,1693503401768370676,,,,"['OBJ_DETECTION', 'LOCALIZATION']"
