brakePercentage,groupMetadataID,drivingMode,speedMps,time,throttlePercentage,steeringPercentage,signal.turnSignal
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,1.69,1708446060091477951,13,62.69344,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,1.72,1708446060123570491,13,62.713028,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,1.73,1708446060157465671,13,62.752205,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,1.75,1708446060197602388,13,62.761997,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,1.75,1708446060223589873,13,62.761997,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,1.78,1708446060255409350,13,62.761997,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,1.81,1708446060289669465,13,62.761997,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,1.83,1708446060321439102,13,62.761997,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,1.83,1708446060356641020,13,62.761997,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,1.86,1708446060387447046,13,62.752205,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,1.87,1708446060421349824,13,62.752205,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,1.89,1708446060453428965,13,62.761997,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,1.9,1708446060487577147,13,62.761997,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,1.92,1708446060519577625,13,62.761997,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,1.93,1708446060553768799,13,62.752205,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,1.94,1708446060585362815,13,62.752205,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,1.95,1708446060621623953,13,62.732616,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,1.96,1708446060651624426,13,62.732616,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,1.98,1708446060685354658,13,62.713028,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2,1708446060717838342,13,62.69344,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.01,1708446060751538309,13,62.69344,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.01,1708446060784389190,13,62.69344,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.02,1708446060817476572,13,62.69344,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.03,1708446060849327081,13,62.69344,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.05,1708446060883379242,13,62.69344,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.06,1708446060915279326,13,62.713028,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.06,1708446060949323795,13,62.732616,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.07,1708446060981237003,13,62.752205,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.07,1708446061015358909,13,62.752205,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.08,1708446061047327716,13,62.732616,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.09,1708446061081245909,13,62.713028,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.11,1708446061113657127,13,62.713028,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.12,1708446061150339934,13,62.713028,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.12,1708446061179422924,13,62.713028,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.14,1708446061217419215,13,62.713028,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.16,1708446061247156136,13,62.713028,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.17,1708446061280464358,13,62.732616,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.18,1708446061311735657,13,62.732616,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.19,1708446061345876831,13,62.732616,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.21,1708446061378097056,13,62.752205,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.21,1708446061411716411,13,62.761997,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.22,1708446061443867698,13,62.761997,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.24,1708446061478218586,13,62.781586,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.25,1708446061509961934,13,62.781586,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.26,1708446061544079112,13.1,62.801174,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.27,1708446061575758268,13.1,62.83056,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.29,1708446061610021413,13.1,62.869736,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.29,1708446061641972552,13.1,62.938297,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.31,1708446061676112082,13.3,62.987267,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.32,1708446061707725641,13.3,63.075417,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.34,1708446061742398130,13.3,63.14398,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.34,1708446061773759519,13.3,63.192947,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.35,1708446061809102244,13.4,63.212536,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.36,1708446061839779078,13.4,63.212536,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.38,1708446061873816948,13.6,63.212536,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.39,1708446061906119732,13.8,63.212536,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.41,1708446061940118510,14.2,63.192947,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.43,1708446061971902704,14.3,63.192947,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.43,1708446062005845038,14.3,63.192947,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.45,1708446062037882841,14.5,63.192947,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.46,1708446062071767648,14.8,63.17336,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.48,1708446062104092308,14.9,63.17336,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.49,1708446062138435624,15,63.17336,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.5,1708446062173654362,15.1,63.17336,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.51,1708446062203698831,15.3,63.17336,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.52,1708446062235652874,15.5,63.17336,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.53,1708446062270601423,15.7,63.17336,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.54,1708446062304689578,15.8,63.15377,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.54,1708446062334029607,15.8,63.15377,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.56,1708446062367691587,15.9,63.104797,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.58,1708446062403647705,16.2,63.104797,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.61,1708446062437577022,16.2,63.026443,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.62,1708446062470507247,16.3,62.987267,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.63,1708446062497556806,16.4,62.938297,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.65,1708446062540413643,16.5,62.938297,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.66,1708446062565405309,16.5,62.83056,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.69,1708446062603933790,16.6,62.761997,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.71,1708446062632224356,16.7,62.761997,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.73,1708446062665346058,16.7,62.644466,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.75,1708446062699633151,16.7,62.556316,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.78,1708446062732626745,17,62.419197,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.81,1708446062771486120,17,62.223312,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.82,1708446062798112614,17,62.223312,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.82,1708446062829791877,17,62.0666,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.85,1708446062863904013,17,61.92948,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.89,1708446062898370194,17,61.75318,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.89,1708446062929820733,17,61.60627,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.92,1708446062961601170,17,61.44956,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.94,1708446062995832016,17,61.243877,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.97,1708446063028430607,17,61.08717,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,2.98,1708446063061856618,17,60.901077,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,3,1708446063093986984,17,60.763958,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,3.03,1708446063127692823,17,60.626835,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,3.05,1708446063159957371,17,60.470127,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,3.08,1708446063193912990,17,60.372185,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,3.11,1708446063225813420,17,60.274242,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,3.12,1708446063260151671,17,60.186092,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,3.15,1708446063295245348,17,60.097942,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,3.15,1708446063325794769,17,60.097942,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,3.21,1708446063358365376,17,59.823704,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,3.23,1708446063391711047,17,59.598434,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,3.26,1708446063423530047,17,59.402546,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,3.28,1708446063457778199,17,59.177277,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,3.3,1708446063489821845,17,58.834476,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,3.33,1708446063524754046,17,58.58962,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,3.35,1708446063559081081,17,58.37414,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,3.38,1708446063590225650,17,58.060726,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,3.4,1708446063623989631,17,57.84525,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,3.42,1708446063655681378,17,57.53183,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,3.45,1708446063687842372,17,57.29677,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,3.47,1708446063721622983,17,56.953968,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,3.5,1708446063753695735,17,56.953968,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,3.53,1708446063787670197,17,56.718903,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,3.55,1708446063819525522,17,56.444664,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,3.58,1708446063853534254,17,56.08227,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,3.58,1708446063885715388,17,55.788445,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,3.61,1708446063919599825,17,55.514202,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,3.63,1708446063951844840,17,55.142017,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,3.66,1708446063985882798,17,54.848186,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,3.7,1708446064018130840,17,54.544563,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,3.73,1708446064051940525,17,54.35847,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,3.75,1708446064084092077,17,54.15279,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,3.78,1708446064117720427,17,53.996082,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,3.81,1708446064150048296,17,53.839375,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,3.83,1708446064183957626,17,53.565132,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,3.86,1708446064215626400,17,53.35945,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,3.89,1708446064249707900,17,53.08521,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,3.92,1708446064281642747,17,52.575905,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,3.93,1708446064315573271,17,52.0666,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,3.95,1708446064347684282,17,51.29285,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,3.98,1708446064381505153,17,50.646423,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,4,1708446064413511275,17,49.68658,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,4.03,1708446064447565402,17,48.903038,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,4.06,1708446064479592657,17,48.05093,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,4.07,1708446064513653565,17,46.816845,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,4.1,1708446064545595084,17,45.857002,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,4.13,1708446064579571912,17,44.867775,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,4.14,1708446064611769321,17,43.4476,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,4.16,1708446064646171939,17,42.321255,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,4.19,1708446064677521591,17,40.734573,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,4.22,1708446064713299761,17,39.45152,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,4.23,1708446064743631704,17,37.717922,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,4.27,1708446064783792731,17,36.385895,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,4.31,1708446064816143113,17,35.093044,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,4.32,1708446064843817750,17,33.34966,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,4.35,1708446064875592818,17,33.34966,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,4.38,1708446064915484552,17,30.852106,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,4.4,1708446064941546451,17,30.852106,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,4.4,1708446064975474475,16.3,29.22625,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,4.43,1708446065007440215,15.8,28.060724,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,4.48,1708446065048793822,15.6,26.57199,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,4.48,1708446065074929134,15.6,25.445642,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,4.49,1708446065107876717,15.3,24.045053,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,4.51,1708446065138996621,15.1,22.987267,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,4.54,1708446065174233631,15,21.94907,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,4.55,1708446065205286722,15,20.607248,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,4.58,1708446065238982287,15,19.657198,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,4.6,1708446065272976002,15,18.726738,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,4.62,1708446065312008038,15,17.639568,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,4.64,1708446065335631230,15,16.84623,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,4.66,1708446065376112244,15,15.700294,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,4.68,1708446065404224193,15,14.779628,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,4.69,1708446065441489119,15,13.535749,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,4.7,1708446065475763162,15,12.556317,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,4.72,1708446065504242124,15,11.586679,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,4.73,1708446065536182377,15,10.333007,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,4.74,1708446065570029147,15,9.392753,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,4.76,1708446065602206398,15,8.403526,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,4.77,1708446065636018990,15,7.1596475,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,4.79,1708446065667940326,15,6.356513,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,4.81,1708446065715355737,15,5.347698,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,4.83,1708446065733825113,15,4.6131244,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,4.84,1708446065773693373,15,3.770813,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,4.86,1708446065797825669,15,3.2419198,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,4.88,1708446065834605768,15,2.761998,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,4.89,1708446065879233184,15,2.1841333,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,4.91,1708446065899520711,15,1.811949,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,4.92,1708446065933539909,15,1.5181195,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,4.94,1708446065975491933,15,1.2047013,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,4.94,1708446065997262127,15,1.2047013,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,4.96,1708446066032172258,15,1.0186092,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,4.98,1708446066063205916,15,0.8129285,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,5,1708446066097331679,15,0.6660137,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,5,1708446066131882765,15.6,0.4701273,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,5.02,1708446066163434809,15.6,0.33300686,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,5.04,1708446066197158886,15.6,0.2546523,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,5.05,1708446066229427731,15.6,0.16650343,TURN_NONE
0,9736e77c-f187-11ee-bab6-fb353e7798cd,COMPLETE_MANUAL,5.07,1708446066263430450,15.6,0.12732615,TURN_NONE
