brakePercentage,groupMetadataID,drivingMode,speedMps,time,throttlePercentage,steeringPercentage,signal.turnSignal
0,99b9f446-f1b2-11ee-bad3-fb353e7798cd,COMPLETE_AUTO_DRIVE,20.03,1708456749448681515,3.7,-0.92066604,TURN_NONE
0,99b9f446-f1b2-11ee-bad3-fb353e7798cd,COMPLETE_AUTO_DRIVE,20.05,1708456749481495080,3.2,-0.92066604,TURN_NONE
0,99b9f446-f1b2-11ee-bad3-fb353e7798cd,COMPLETE_AUTO_DRIVE,20.05,1708456749513978948,0,-0.92066604,TURN_NONE
0,99b9f446-f1b2-11ee-bad3-fb353e7798cd,COMPLETE_AUTO_DRIVE,20.05,1708456749547397044,0,-0.93046033,TURN_NONE
0,99b9f446-f1b2-11ee-bad3-fb353e7798cd,COMPLETE_AUTO_DRIVE,20.06,1708456749581414837,0,-0.93046033,TURN_NONE
0,99b9f446-f1b2-11ee-bad3-fb353e7798cd,COMPLETE_AUTO_DRIVE,20.08,1708456749613453915,0,-0.93046033,TURN_NONE
0,99b9f446-f1b2-11ee-bad3-fb353e7798cd,COMPLETE_AUTO_DRIVE,20.09,1708456749645577829,0,-0.950049,TURN_NONE
0,99b9f446-f1b2-11ee-bad3-fb353e7798cd,COMPLETE_AUTO_DRIVE,20.12,1708456749679461125,0,-0.950049,TURN_NONE
4.5,99b9f446-f1b2-11ee-bad3-fb353e7798cd,COMPLETE_AUTO_DRIVE,20.13,1708456749711450504,0,-0.950049,TURN_NONE
10.3,99b9f446-f1b2-11ee-bad3-fb353e7798cd,COMPLETE_AUTO_DRIVE,20.13,1708456749745587567,0,-0.950049,TURN_NONE
10.1,99b9f446-f1b2-11ee-bad3-fb353e7798cd,COMPLETE_AUTO_DRIVE,20.15,1708456749777526824,0,-0.950049,TURN_NONE
7.4,99b9f446-f1b2-11ee-bad3-fb353e7798cd,COMPLETE_AUTO_DRIVE,20.16,1708456749811689385,0,-0.950049,TURN_NONE
4.8,99b9f446-f1b2-11ee-bad3-fb353e7798cd,COMPLETE_AUTO_DRIVE,20.17,1708456749843569060,0,-0.950049,TURN_NONE
4.1,99b9f446-f1b2-11ee-bad3-fb353e7798cd,COMPLETE_AUTO_DRIVE,20.21,1708456749877513674,0,-0.950049,TURN_NONE
4.7,99b9f446-f1b2-11ee-bad3-fb353e7798cd,COMPLETE_AUTO_DRIVE,20.22,1708456749909517604,0,-0.950049,TURN_NONE
4.7,99b9f446-f1b2-11ee-bad3-fb353e7798cd,COMPLETE_AUTO_DRIVE,20.23,1708456749943447171,0,-0.96963763,TURN_NONE
4.2,99b9f446-f1b2-11ee-bad3-fb353e7798cd,COMPLETE_AUTO_DRIVE,20.25,1708456749977677530,0,-0.9892262,TURN_NONE
4.3,99b9f446-f1b2-11ee-bad3-fb353e7798cd,COMPLETE_AUTO_DRIVE,20.29,1708456750009506573,0,-0.9990206,TURN_NONE
4.1,99b9f446-f1b2-11ee-bad3-fb353e7798cd,COMPLETE_AUTO_DRIVE,20.31,1708456750043481415,0,-1.0186092,TURN_NONE
6,99b9f446-f1b2-11ee-bad3-fb353e7798cd,COMPLETE_AUTO_DRIVE,20.33,1708456750075535014,0,-1.0381979,TURN_NONE
7.5,99b9f446-f1b2-11ee-bad3-fb353e7798cd,COMPLETE_AUTO_DRIVE,20.36,1708456750107584427,0,-1.0577865,TURN_NONE
