brakePercentage,groupMetadataID,drivingMode,speedMps,time,throttlePercentage,steeringPercentage,signal.turnSignal
0,a231c0b0-f142-11ee-ba76-fb353e7798cd,COMPLETE_AUTO_DRIVE,17.93,1706628807120751011,29.4,0.48971596,TURN_NONE
0,a231c0b0-f142-11ee-ba76-fb353e7798cd,COMPLETE_AUTO_DRIVE,17.98,1706628807153815295,28.2,0.48971596,TURN_NONE
0,a231c0b0-f142-11ee-ba76-fb353e7798cd,COMPLETE_AUTO_DRIVE,18.03,1706628807183157481,27.7,0.48971596,TURN_NONE
0,a231c0b0-f142-11ee-ba76-fb353e7798cd,COMPLETE_AUTO_DRIVE,18.04,1706628807216022350,27.5,0.46033302,TURN_NONE
0,a231c0b0-f142-11ee-ba76-fb353e7798cd,COMPLETE_AUTO_DRIVE,18.08,1706628807248569272,27,0.46033302,TURN_NONE
0,a231c0b0-f142-11ee-ba76-fb353e7798cd,COMPLETE_AUTO_DRIVE,18.13,1706628807280794507,25.4,0.44074437,TURN_NONE
0,a231c0b0-f142-11ee-ba76-fb353e7798cd,COMPLETE_AUTO_DRIVE,18.14,1706628807315651635,25.9,0.4015671,TURN_NONE
0,a231c0b0-f142-11ee-ba76-fb353e7798cd,COMPLETE_AUTO_DRIVE,18.18,1706628807348578665,25.4,0.39177278,TURN_NONE
0,a231c0b0-f142-11ee-ba76-fb353e7798cd,COMPLETE_AUTO_DRIVE,18.22,1706628807382091254,24.1,0.3525955,TURN_NONE
0,a231c0b0-f142-11ee-ba76-fb353e7798cd,COMPLETE_AUTO_DRIVE,18.26,1706628807414184520,24.4,0.33300686,TURN_NONE
0,a231c0b0-f142-11ee-ba76-fb353e7798cd,COMPLETE_AUTO_DRIVE,18.27,1706628807447616456,25,0.32321253,TURN_NONE
0,a231c0b0-f142-11ee-ba76-fb353e7798cd,COMPLETE_AUTO_DRIVE,18.32,1706628807480204560,23.8,0.28403527,TURN_NONE
0,a231c0b0-f142-11ee-ba76-fb353e7798cd,COMPLETE_AUTO_DRIVE,18.35,1706628807512196679,22.9,0.2546523,TURN_NONE
0,a231c0b0-f142-11ee-ba76-fb353e7798cd,COMPLETE_AUTO_DRIVE,18.37,1706628807546241873,23.3,0.19588639,TURN_NONE
0,a231c0b0-f142-11ee-ba76-fb353e7798cd,COMPLETE_AUTO_DRIVE,18.4,1706628807578023035,22.6,0.18609206,TURN_NONE
0,a231c0b0-f142-11ee-ba76-fb353e7798cd,COMPLETE_AUTO_DRIVE,18.45,1706628807624352502,22.1,0.1469148,TURN_NONE
0,a231c0b0-f142-11ee-ba76-fb353e7798cd,COMPLETE_AUTO_DRIVE,18.46,1706628807657861035,21.8,0.12732615,TURN_NONE
0,a231c0b0-f142-11ee-ba76-fb353e7798cd,COMPLETE_AUTO_DRIVE,18.49,1706628807678314648,21.6,0.11753183,TURN_NONE
0,a231c0b0-f142-11ee-ba76-fb353e7798cd,COMPLETE_AUTO_DRIVE,18.52,1706628807710103032,21.6,0.11753183,TURN_NONE
0,a231c0b0-f142-11ee-ba76-fb353e7798cd,COMPLETE_AUTO_DRIVE,18.55,1706628807744395306,20.4,0.097943194,TURN_NONE
0,a231c0b0-f142-11ee-ba76-fb353e7798cd,COMPLETE_AUTO_DRIVE,18.56,1706628807776130295,20.3,0.07835455,TURN_NONE
0,a231c0b0-f142-11ee-ba76-fb353e7798cd,COMPLETE_AUTO_DRIVE,18.6,1706628807815209073,19.9,0.058765914,TURN_NONE
0,a231c0b0-f142-11ee-ba76-fb353e7798cd,COMPLETE_AUTO_DRIVE,18.6,1706628807843441832,19.9,0.048971597,TURN_NONE
0,a231c0b0-f142-11ee-ba76-fb353e7798cd,COMPLETE_AUTO_DRIVE,18.64,1706628807876050419,19.6,0.048971597,TURN_NONE
0,a231c0b0-f142-11ee-ba76-fb353e7798cd,COMPLETE_AUTO_DRIVE,18.65,1706628807908058190,19.6,0.048971597,TURN_NONE
0,a231c0b0-f142-11ee-ba76-fb353e7798cd,COMPLETE_AUTO_DRIVE,18.68,1706628807945821077,19,0.009794319,TURN_NONE
0,a231c0b0-f142-11ee-ba76-fb353e7798cd,COMPLETE_AUTO_DRIVE,18.71,1706628807974128159,19.7,0.009794319,TURN_NONE
0,a231c0b0-f142-11ee-ba76-fb353e7798cd,COMPLETE_AUTO_DRIVE,18.73,1706628808008078791,19.2,-0.048971597,TURN_NONE
0,a231c0b0-f142-11ee-ba76-fb353e7798cd,COMPLETE_AUTO_DRIVE,18.76,1706628808039899899,19.2,-0.097943194,TURN_NONE
0,a231c0b0-f142-11ee-ba76-fb353e7798cd,COMPLETE_AUTO_DRIVE,18.8,1706628808073975089,18.7,-0.11753183,TURN_NONE
0,a231c0b0-f142-11ee-ba76-fb353e7798cd,COMPLETE_AUTO_DRIVE,18.84,1706628808106008315,18.4,-0.16650343,TURN_NONE
0,a231c0b0-f142-11ee-ba76-fb353e7798cd,COMPLETE_AUTO_DRIVE,18.85,1706628808142926857,18,-0.19588639,TURN_NONE
0,a231c0b0-f142-11ee-ba76-fb353e7798cd,COMPLETE_AUTO_DRIVE,18.88,1706628808172216652,17.2,-0.21547502,TURN_NONE
0,a231c0b0-f142-11ee-ba76-fb353e7798cd,COMPLETE_AUTO_DRIVE,18.92,1706628808206166156,16.5,-0.23506366,TURN_NONE
0,a231c0b0-f142-11ee-ba76-fb353e7798cd,COMPLETE_AUTO_DRIVE,18.93,1706628808238533218,15.5,-0.23506366,TURN_NONE
0,a231c0b0-f142-11ee-ba76-fb353e7798cd,COMPLETE_AUTO_DRIVE,18.95,1706628808272122144,15.1,-0.23506366,TURN_NONE
0,a231c0b0-f142-11ee-ba76-fb353e7798cd,COMPLETE_AUTO_DRIVE,18.97,1706628808307014293,14,-0.2546523,TURN_NONE
0,a231c0b0-f142-11ee-ba76-fb353e7798cd,COMPLETE_AUTO_DRIVE,19,1706628808338209697,13.7,-0.2546523,TURN_NONE
0,a231c0b0-f142-11ee-ba76-fb353e7798cd,COMPLETE_AUTO_DRIVE,19,1706628808373985673,13.7,-0.26444662,TURN_NONE
0,a231c0b0-f142-11ee-ba76-fb353e7798cd,COMPLETE_AUTO_DRIVE,19.03,1706628808406446394,13.7,-0.28403527,TURN_NONE
0,a231c0b0-f142-11ee-ba76-fb353e7798cd,COMPLETE_AUTO_DRIVE,19.06,1706628808437955860,13,-0.32321253,TURN_NONE
0,a231c0b0-f142-11ee-ba76-fb353e7798cd,COMPLETE_AUTO_DRIVE,19.06,1706628808470247581,12.9,-0.33300686,TURN_NONE
0,a231c0b0-f142-11ee-ba76-fb353e7798cd,COMPLETE_AUTO_DRIVE,19.08,1706628808502611329,13.6,-0.39177278,TURN_NONE
0,a231c0b0-f142-11ee-ba76-fb353e7798cd,COMPLETE_AUTO_DRIVE,19.11,1706628808537612007,12.3,-0.42115572,TURN_NONE
0,a231c0b0-f142-11ee-ba76-fb353e7798cd,COMPLETE_AUTO_DRIVE,19.11,1706628808568559568,12.2,-0.44074437,TURN_NONE
0,a231c0b0-f142-11ee-ba76-fb353e7798cd,COMPLETE_AUTO_DRIVE,19.11,1706628808602260573,12.8,-0.4701273,TURN_NONE
0,a231c0b0-f142-11ee-ba76-fb353e7798cd,COMPLETE_AUTO_DRIVE,19.13,1706628808636760317,12.8,-0.48971596,TURN_NONE
0,a231c0b0-f142-11ee-ba76-fb353e7798cd,COMPLETE_AUTO_DRIVE,19.15,1706628808668003356,12,-0.5093046,TURN_NONE
0,a231c0b0-f142-11ee-ba76-fb353e7798cd,COMPLETE_AUTO_DRIVE,19.14,1706628808701193720,12.8,-0.52889323,TURN_NONE
0,a231c0b0-f142-11ee-ba76-fb353e7798cd,COMPLETE_AUTO_DRIVE,19.16,1706628808734020169,13.1,-0.5386876,TURN_NONE
0,a231c0b0-f142-11ee-ba76-fb353e7798cd,COMPLETE_AUTO_DRIVE,19.18,1706628808766324910,13.1,-0.5582762,TURN_NONE
0,a231c0b0-f142-11ee-ba76-fb353e7798cd,COMPLETE_AUTO_DRIVE,19.18,1706628808799981106,12.7,-0.5582762,TURN_NONE
0,a231c0b0-f142-11ee-ba76-fb353e7798cd,COMPLETE_AUTO_DRIVE,19.18,1706628808833255070,12.7,-0.5974535,TURN_NONE
0,a231c0b0-f142-11ee-ba76-fb353e7798cd,COMPLETE_AUTO_DRIVE,19.21,1706628808866126821,13.6,-0.5974535,TURN_NONE
0,a231c0b0-f142-11ee-ba76-fb353e7798cd,COMPLETE_AUTO_DRIVE,19.21,1706628808898702261,13.6,-0.5974535,TURN_NONE
0,a231c0b0-f142-11ee-ba76-fb353e7798cd,COMPLETE_AUTO_DRIVE,19.21,1706628808932509260,13.6,-0.5974535,TURN_NONE
0,a231c0b0-f142-11ee-ba76-fb353e7798cd,COMPLETE_AUTO_DRIVE,19.21,1706628808964294344,14.4,-0.60724777,TURN_NONE
0,a231c0b0-f142-11ee-ba76-fb353e7798cd,COMPLETE_AUTO_DRIVE,19.24,1706628808999436715,13.7,-0.6268364,TURN_NONE
0,a231c0b0-f142-11ee-ba76-fb353e7798cd,COMPLETE_AUTO_DRIVE,19.24,1706628809030798255,14.5,-0.64642507,TURN_NONE
0,a231c0b0-f142-11ee-ba76-fb353e7798cd,COMPLETE_AUTO_DRIVE,19.25,1706628809064076727,15,-0.6660137,TURN_NONE
