brakePercentage,groupMetadataID,drivingMode,speedMps,time,throttlePercentage,steeringPercentage,signal.turnSignal
0,a901fe40-f0fd-11ee-ba39-fb353e7798cd,COMPLETE_MANUAL,1.49,1704822781817424292,8.6,34.01567,TURN_NONE
0,a901fe40-f0fd-11ee-ba39-fb353e7798cd,COMPLETE_MANUAL,1.5,1704822781849754366,8.6,34.01567,TURN_NONE
0,a901fe40-f0fd-11ee-ba39-fb353e7798cd,COMPLETE_MANUAL,1.51,1704822781882431396,8.6,35.19099,TURN_NONE
0,a901fe40-f0fd-11ee-ba39-fb353e7798cd,COMPLETE_MANUAL,1.53,1704822781914411419,8.6,35.19099,TURN_NONE
0,a901fe40-f0fd-11ee-ba39-fb353e7798cd,COMPLETE_MANUAL,1.54,1704822781948710921,8.6,35.925564,TURN_NONE
0,a901fe40-f0fd-11ee-ba39-fb353e7798cd,COMPLETE_MANUAL,1.55,1704822781980439063,8.6,36.562195,TURN_NONE
0,a901fe40-f0fd-11ee-ba39-fb353e7798cd,COMPLETE_MANUAL,1.57,1704822782014725101,8.6,37.15965,TURN_NONE
0,a901fe40-f0fd-11ee-ba39-fb353e7798cd,COMPLETE_MANUAL,1.58,1704822782046405496,8.6,37.894222,TURN_NONE
0,a901fe40-f0fd-11ee-ba39-fb353e7798cd,COMPLETE_MANUAL,1.58,1704822782080696913,8.6,38.442703,TURN_NONE
0,a901fe40-f0fd-11ee-ba39-fb353e7798cd,COMPLETE_MANUAL,1.6,1704822782115892830,8.6,39.1381,TURN_NONE
0,a901fe40-f0fd-11ee-ba39-fb353e7798cd,COMPLETE_MANUAL,1.61,1704822782147098758,8.6,39.666992,TURN_NONE
0,a901fe40-f0fd-11ee-ba39-fb353e7798cd,COMPLETE_MANUAL,1.62,1704822782183825152,8.6,40.20568,TURN_NONE
0,a901fe40-f0fd-11ee-ba39-fb353e7798cd,COMPLETE_MANUAL,1.63,1704822782216603668,8.6,40.920666,TURN_NONE
0,a901fe40-f0fd-11ee-ba39-fb353e7798cd,COMPLETE_MANUAL,1.63,1704822782244544814,8.6,41.44956,TURN_NONE
