groupMetadataID,event,time,position.alt_msl,position.latitude,position.longitude,type
acd71bc0-ecf4-11ee-9385-ef789ffde1d3,no disengagement on start,1704995960476278156,,,,
acd71bc0-ecf4-11ee-9385-ef789ffde1d3,,1704996019984011331,,,,['ROUND_ABOUT']
acd71bc0-ecf4-11ee-9385-ef789ffde1d3,pedestrian,1704996167322611180,,,,"['OBJ_DETECTION', 'NOT_DISENGAGEMENT']"
acd71bc0-ecf4-11ee-9385-ef789ffde1d3,traffic fault,1704996274773410725,,,,
acd71bc0-ecf4-11ee-9385-ef789ffde1d3,traffic stopped ahead,1704996471091078518,,,,['OBJ_DETECTION']
acd71bc0-ecf4-11ee-9385-ef789ffde1d3,,1704996532858734707,,,,['UNKNOWN']
acd71bc0-ecf4-11ee-9385-ef789ffde1d3,traffic,1704997011205232063,,,,
acd71bc0-ecf4-11ee-9385-ef789ffde1d3,uphill intersection,1704997159782394731,,,,['INTERSECTION']
acd71bc0-ecf4-11ee-9385-ef789ffde1d3,oncoming semi trucks,1704997184267031629,,,,['INTERSECTION']
acd71bc0-ecf4-11ee-9385-ef789ffde1d3,,1704997565673066685,,,,['RAILROAD']
