groupMetadataID,event,time,position.alt_msl,position.latitude,position.longitude,type
b224ef9c-ec10-11ee-b297-3b0ad9d5d6c6,engagement steering off-center,1703607804548316422,,,,['OTHER']
b224ef9c-ec10-11ee-b297-3b0ad9d5d6c6,,1703607889105552962,,,,['ROUND_ABOUT']
b224ef9c-ec10-11ee-b297-3b0ad9d5d6c6,module down 3x,1703608002240284218,,,,['TRAFFIC_LIGHT']
b224ef9c-ec10-11ee-b297-3b0ad9d5d6c6,"had a guy coming, van was hesitating on green light",1703608144362110949,,,,['INTENTIONAL']
b224ef9c-ec10-11ee-b297-3b0ad9d5d6c6,parked vehicle in curve over line,1703608210305918879,,,,['TRAFFIC_FAULT']
b224ef9c-ec10-11ee-b297-3b0ad9d5d6c6,accelerated to red light after slowing to almost stop,1703608265779754634,,,,['NOT_DISENGAGEMENT']
b224ef9c-ec10-11ee-b297-3b0ad9d5d6c6,had to go so we wouldn't get rear ended,1703608354829017088,,,,['OBJ_DETECTION']
b224ef9c-ec10-11ee-b297-3b0ad9d5d6c6,wide turn with stopped traffic in turning lane,1703608441407879507,,,,['INTERSECTION']
b224ef9c-ec10-11ee-b297-3b0ad9d5d6c6,40mph curve sign ignored,1703608462593101297,,,,['NOT_DISENGAGEMENT']
b224ef9c-ec10-11ee-b297-3b0ad9d5d6c6,45mph sign with 35mph max speed,1703608476423576834,,,,['NOT_DISENGAGEMENT']
b224ef9c-ec10-11ee-b297-3b0ad9d5d6c6,45mph speed but van max 35,1703608526927427380,,,,
b224ef9c-ec10-11ee-b297-3b0ad9d5d6c6,curve sign with no speed mentioned,1703608539251683471,,,,['NOT_DISENGAGEMENT']
b224ef9c-ec10-11ee-b297-3b0ad9d5d6c6,45mph speed zone matched by van,1703608552442102153,,,,['NOT_DISENGAGEMENT']
b224ef9c-ec10-11ee-b297-3b0ad9d5d6c6,curve sign no speed mentioned,1703608566994670965,,,,['NOT_DISENGAGEMENT']
b224ef9c-ec10-11ee-b297-3b0ad9d5d6c6,40mph curve speed sign ignored,1703608636196587930,,,,['NOT_DISENGAGEMENT']
b224ef9c-ec10-11ee-b297-3b0ad9d5d6c6,van at 35mph ,1703608652341942990,,,,['NOT_DISENGAGEMENT']
b224ef9c-ec10-11ee-b297-3b0ad9d5d6c6,35mph speed zone ahead,1703608663499097414,,,,['NOT_DISENGAGEMENT']
b224ef9c-ec10-11ee-b297-3b0ad9d5d6c6,35mph speed zone,1703608673899838524,,,,['NOT_DISENGAGEMENT']
b224ef9c-ec10-11ee-b297-3b0ad9d5d6c6,swerved for opposing traffic turning left in center lane,1703608777346517153,,,,['NOT_DISENGAGEMENT']
b224ef9c-ec10-11ee-b297-3b0ad9d5d6c6,driver disenengagement with abs for traffic stopped at light that had just turned green but vehicles weren't perceived by van soon enough,1703608839486604224,,,,['TRAFFIC_LIGHT']
b224ef9c-ec10-11ee-b297-3b0ad9d5d6c6,oncoming traffic,1703608913988386093,,,,['TRAFFIC_FAULT']
b224ef9c-ec10-11ee-b297-3b0ad9d5d6c6,system re-engagmenet failed 3x,1703608931588073030,,,,['OTHER']
b224ef9c-ec10-11ee-b297-3b0ad9d5d6c6,"walker, opposing traffic and two bicycles on narrow road",1703609012899998340,,,,['OBJ_DETECTION']
b224ef9c-ec10-11ee-b297-3b0ad9d5d6c6,somebody behind us for over-reactive braking per surrounding traffic,1703609172688171337,,,,['TRAFFIC_FAULT']
b224ef9c-ec10-11ee-b297-3b0ad9d5d6c6,,1703609439332064162,,,,['RAILROAD']
b224ef9c-ec10-11ee-b297-3b0ad9d5d6c6,,1703609495418940972,,,,['EOR']
