brakePercentage,groupMetadataID,drivingMode,speedMps,time,throttlePercentage,steeringPercentage,signal.turnSignal
0,b2bfb60c-f0ad-11ee-b9ea-fb353e7798cd,COMPLETE_MANUAL,1.38,1699555103117868998,0,22.272282,TURN_NONE
0,b2bfb60c-f0ad-11ee-b9ea-fb353e7798cd,COMPLETE_MANUAL,1.38,1699555103150350626,0,22.203722,TURN_NONE
0,b2bfb60c-f0ad-11ee-b9ea-fb353e7798cd,COMPLETE_MANUAL,1.4,1699555103184045927,0,22.047012,TURN_NONE
0,b2bfb60c-f0ad-11ee-b9ea-fb353e7798cd,COMPLETE_MANUAL,1.45,1699555103217519053,0,21.909893,TURN_NONE
0,b2bfb60c-f0ad-11ee-b9ea-fb353e7798cd,COMPLETE_MANUAL,1.49,1699555103249685469,0,21.58668,TURN_NONE
0,b2bfb60c-f0ad-11ee-b9ea-fb353e7798cd,COMPLETE_MANUAL,1.51,1699555103281801519,0,21.58668,TURN_NONE
0,b2bfb60c-f0ad-11ee-b9ea-fb353e7798cd,COMPLETE_MANUAL,1.61,1699555103321553304,0,20.871695,TURN_NONE
0,b2bfb60c-f0ad-11ee-b9ea-fb353e7798cd,COMPLETE_MANUAL,1.61,1699555103349570488,0,20.871695,TURN_NONE
0,b2bfb60c-f0ad-11ee-b9ea-fb353e7798cd,COMPLETE_MANUAL,1.66,1699555103381631212,0,20.235064,TURN_NONE
0,b2bfb60c-f0ad-11ee-b9ea-fb353e7798cd,COMPLETE_MANUAL,1.72,1699555103429024146,0,19.00098,TURN_NONE
0,b2bfb60c-f0ad-11ee-b9ea-fb353e7798cd,COMPLETE_MANUAL,1.72,1699555103449405381,0,19.00098,TURN_NONE
0,b2bfb60c-f0ad-11ee-b9ea-fb353e7798cd,COMPLETE_MANUAL,1.77,1699555103482198512,0,18.472086,TURN_NONE
0,b2bfb60c-f0ad-11ee-b9ea-fb353e7798cd,COMPLETE_MANUAL,1.79,1699555103511792019,0,17.962782,TURN_NONE
0,b2bfb60c-f0ad-11ee-b9ea-fb353e7798cd,COMPLETE_MANUAL,1.83,1699555103548970421,0,17.296768,TURN_NONE
0,b2bfb60c-f0ad-11ee-b9ea-fb353e7798cd,COMPLETE_MANUAL,1.88,1699555103579683741,0,16.777668,TURN_NONE
0,b2bfb60c-f0ad-11ee-b9ea-fb353e7798cd,COMPLETE_MANUAL,1.92,1699555103611604868,0,16.170422,TURN_NONE
0,b2bfb60c-f0ad-11ee-b9ea-fb353e7798cd,COMPLETE_MANUAL,1.95,1699555103645738847,0,15.719882,TURN_NONE
0,b2bfb60c-f0ad-11ee-b9ea-fb353e7798cd,COMPLETE_MANUAL,1.98,1699555103677627085,0,15.259549,TURN_NONE
0,b2bfb60c-f0ad-11ee-b9ea-fb353e7798cd,COMPLETE_MANUAL,2.03,1699555103714634506,0,14.573947,TURN_NONE
0,b2bfb60c-f0ad-11ee-b9ea-fb353e7798cd,COMPLETE_MANUAL,2.04,1699555103744239933,0,14.064643,TURN_NONE
0,b2bfb60c-f0ad-11ee-b9ea-fb353e7798cd,COMPLETE_MANUAL,2.09,1699555103778526447,0,13.359451,TURN_NONE
0,b2bfb60c-f0ad-11ee-b9ea-fb353e7798cd,COMPLETE_MANUAL,2.13,1699555103815360040,0,12.810969,TURN_NONE
0,b2bfb60c-f0ad-11ee-b9ea-fb353e7798cd,COMPLETE_MANUAL,2.15,1699555103843346401,0,12.213516,TURN_NONE
0,b2bfb60c-f0ad-11ee-b9ea-fb353e7798cd,COMPLETE_MANUAL,2.19,1699555103889228872,0,11.410382,TURN_NONE
0,b2bfb60c-f0ad-11ee-b9ea-fb353e7798cd,COMPLETE_MANUAL,2.23,1699555103909582000,0,10.871695,TURN_NONE
0,b2bfb60c-f0ad-11ee-b9ea-fb353e7798cd,COMPLETE_MANUAL,2.27,1699555103943942773,0,10.166503,TURN_NONE
