brakePercentage,groupMetadataID,drivingMode,speedMps,time,throttlePercentage,steeringPercentage,signal.turnSignal
0,b3ee0dd8-f0d7-11ee-ba18-fb353e7798cd,COMPLETE_MANUAL,1.06,1701372016060077265,5.4,-72.73261,TURN_NONE
0,b3ee0dd8-f0d7-11ee-ba18-fb353e7798cd,COMPLETE_MANUAL,1.06,1701372016093957284,5.4,-72.664055,TURN_NONE
0,b3ee0dd8-f0d7-11ee-ba18-fb353e7798cd,COMPLETE_MANUAL,1.07,1701372016126155885,5.4,-72.62488,TURN_NONE
0,b3ee0dd8-f0d7-11ee-ba18-fb353e7798cd,COMPLETE_MANUAL,1.08,1701372016160013481,5,-72.55632,TURN_NONE
0,b3ee0dd8-f0d7-11ee-ba18-fb353e7798cd,COMPLETE_MANUAL,1.09,1701372016192019640,5,-72.50735,TURN_NONE
0,b3ee0dd8-f0d7-11ee-ba18-fb353e7798cd,COMPLETE_MANUAL,1.1,1701372016230235353,5,-72.487755,TURN_NONE
0,b3ee0dd8-f0d7-11ee-ba18-fb353e7798cd,COMPLETE_MANUAL,1.1,1701372016258293687,5,-72.47797,TURN_NONE
0,b3ee0dd8-f0d7-11ee-ba18-fb353e7798cd,COMPLETE_MANUAL,1.11,1701372016292325271,5,-72.487755,TURN_NONE
0,b3ee0dd8-f0d7-11ee-ba18-fb353e7798cd,COMPLETE_MANUAL,1.12,1701372016324202318,5,-72.50735,TURN_NONE
0,b3ee0dd8-f0d7-11ee-ba18-fb353e7798cd,COMPLETE_MANUAL,1.12,1701372016360528796,5.4,-72.50735,TURN_NONE
0,b3ee0dd8-f0d7-11ee-ba18-fb353e7798cd,COMPLETE_MANUAL,1.13,1701372016390302141,5.4,-72.50735,TURN_NONE
0,b3ee0dd8-f0d7-11ee-ba18-fb353e7798cd,COMPLETE_MANUAL,1.14,1701372016422433527,5.4,-72.50735,TURN_NONE
