groupMetadataID,event,time,position.alt_msl,position.latitude,position.longitude,type
be857244-efc0-11ee-b966-fb353e7798cd,oscillization,1693937483863668793,,,,['OTHER']
be857244-efc0-11ee-b966-fb353e7798cd,lost brake accel not steerig,1693937815201306967,,,,['OTHER']
be857244-efc0-11ee-b966-fb353e7798cd,,1693937818343998593,,,,['LOCALIZATION']
be857244-efc0-11ee-b966-fb353e7798cd,traffic approaching from rear,1693938231104929586,,,,"['LOCALIZATION', 'OTHER']"
be857244-efc0-11ee-b966-fb353e7798cd,,1693938359935595155,,,,['LOCALIZATION']
be857244-efc0-11ee-b966-fb353e7798cd,,1693938599493674082,,,,['LOCALIZATION']
be857244-efc0-11ee-b966-fb353e7798cd,,1693938633713513705,,,,['LOCALIZATION']
be857244-efc0-11ee-b966-fb353e7798cd,random stop gate,1693938722489630391,,,,['OTHER']
be857244-efc0-11ee-b966-fb353e7798cd,traffic near to offramp,1693938871379080172,,,,['OTHER']
be857244-efc0-11ee-b966-fb353e7798cd,,1693938995323616807,,,,['OBJ_DETECTION']
be857244-efc0-11ee-b966-fb353e7798cd,traffic approaching from bhind,1693939046732694944,,,,['OTHER']
be857244-efc0-11ee-b966-fb353e7798cd,no go,1693939114920400892,,,,"['INTERSECTION', 'OTHER']"
be857244-efc0-11ee-b966-fb353e7798cd,,1693939119466003697,,,,['EOR']
