brakePercentage,groupMetadataID,drivingMode,speedMps,time,throttlePercentage,steeringPercentage,signal.turnSignal
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,2.99,1706636517666378368,9,34.613125,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3,1706636517698874496,9,34.632713,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.01,1706636517730279581,9,34.632713,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.01,1706636517764162771,9,34.632713,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.03,1706636517798588393,8.9,34.613125,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.04,1706636517830370952,8.6,34.613125,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.04,1706636517864186923,8.2,34.613125,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.06,1706636517896175449,7.1,34.613125,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.07,1706636517930279238,5.9,34.613125,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.07,1706636517962149991,4.8,34.613125,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.08,1706636517996075465,3.4,34.613125,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.1,1706636518028301121,0,34.613125,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.1,1706636518062159089,0,34.613125,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.11,1706636518094135507,0,34.613125,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.13,1706636518128212265,0,34.613125,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.13,1706636518160117586,0,34.613125,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.15,1706636518194254875,0,34.613125,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.18,1706636518226071116,0,34.613125,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.19,1706636518260175609,0,34.613125,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.19,1706636518292113370,0,34.613125,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.22,1706636518326129049,0,34.613125,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.24,1706636518358169782,0,34.613125,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.25,1706636518392095147,0,34.613125,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.26,1706636518424065806,0,34.613125,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.28,1706636518458149401,0,34.613125,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.28,1706636518490218730,0,34.613125,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.31,1706636518529654630,0,34.613125,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.31,1706636518556073616,0,34.613125,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.31,1706636518590404772,0,34.613125,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.32,1706636518622308911,0,34.593536,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.33,1706636518656098341,0,34.573948,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.34,1706636518688120543,0,34.56415,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.36,1706636518722758303,0,34.56415,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.36,1706636518754154064,0,34.524975,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.36,1706636518789563337,0,34.505386,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.37,1706636518820987048,0,34.476006,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.38,1706636518852432849,0,34.436825,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.38,1706636518886234310,0,34.427032,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.38,1706636518920344846,0,34.35847,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.38,1706636518953148731,0,34.299706,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.38,1706636518985610201,0,34.22135,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.38,1706636519016374289,0,34.22135,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.38,1706636519052532040,0,34.01567,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.38,1706636519084979502,0,34.01567,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.38,1706636519118375979,0,33.7904,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.38,1706636519150181198,0,33.58472,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.38,1706636519185720229,0,33.26151,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.38,1706636519214232813,0,33.006855,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.38,1706636519251983064,0,32.752205,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.38,1706636519280199226,0,32.4094,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.38,1706636519318081348,0,32.095985,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.38,1706636519346168510,0,31.67483,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.38,1706636519382201258,0,31.29285,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.37,1706636519415224676,0,30.852106,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.37,1706636519448187620,0,30.146915,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.37,1706636519480994156,0,29.56905,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.37,1706636519514450089,0,28.726738,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.37,1706636519546126064,0,28.099901,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.37,1706636519580300204,0,27.463272,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.36,1706636519625758600,0,26.630754,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.36,1706636519646099935,0,25.994123,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.35,1706636519678116496,0,25.190989,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.35,1706636519712450612,0,24.593536,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.35,1706636519744103886,0,23.976494,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.35,1706636519778053303,0,23.143976,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.35,1706636519810267864,0,22.487757,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.35,1706636519844160519,0,21.63565,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.35,1706636519876101276,0,21.008816,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.35,1706636519910218874,0,20.372185,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.35,1706636519942134724,0,19.520079,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.35,1706636519976220755,0,18.86386,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.35,1706636520010023736,0,18.011753,TURN_NONE
0,bf9157f0-f16b-11ee-ba9e-fb353e7798cd,EMERGENCY_MODE,3.35,1706636520049704913,0,17.34574,TURN_NONE
