brakePercentage,groupMetadataID,drivingMode,speedMps,time,throttlePercentage,steeringPercentage,signal.turnSignal
39.2,c2f54552-f06f-11ee-b9a9-fb353e7798cd,EMERGENCY_MODE,0,1696517581793546415,0,-11.106758,TURN_NONE
39.2,c2f54552-f06f-11ee-b9a9-fb353e7798cd,EMERGENCY_MODE,0,1696517581825497093,0,-11.106758,TURN_NONE
39.2,c2f54552-f06f-11ee-b9a9-fb353e7798cd,EMERGENCY_MODE,0,1696517581859365144,0,-11.106758,TURN_NONE
39.2,c2f54552-f06f-11ee-b9a9-fb353e7798cd,EMERGENCY_MODE,0,1696517581893415185,0,-11.106758,TURN_NONE
39.2,c2f54552-f06f-11ee-b9a9-fb353e7798cd,EMERGENCY_MODE,0,1696517581925448312,0,-11.106758,TURN_NONE
39.2,c2f54552-f06f-11ee-b9a9-fb353e7798cd,EMERGENCY_MODE,0,1696517581959398891,0,-11.106758,TURN_NONE
39.2,c2f54552-f06f-11ee-b9a9-fb353e7798cd,EMERGENCY_MODE,0,1696517581991446443,0,-11.106758,TURN_NONE
39.2,c2f54552-f06f-11ee-b9a9-fb353e7798cd,EMERGENCY_MODE,0,1696517582023509793,0,-11.106758,TURN_NONE
39.2,c2f54552-f06f-11ee-b9a9-fb353e7798cd,EMERGENCY_MODE,0,1696517582057352353,0,-11.106758,TURN_NONE
39.2,c2f54552-f06f-11ee-b9a9-fb353e7798cd,EMERGENCY_MODE,0,1696517582091507652,0,-11.106758,TURN_NONE
39.2,c2f54552-f06f-11ee-b9a9-fb353e7798cd,EMERGENCY_MODE,0,1696517582123553624,0,-11.106758,TURN_NONE
39.2,c2f54552-f06f-11ee-b9a9-fb353e7798cd,EMERGENCY_MODE,0,1696517582155377278,0,-11.106758,TURN_NONE
39.2,c2f54552-f06f-11ee-b9a9-fb353e7798cd,EMERGENCY_MODE,0,1696517582189397398,0,-11.106758,TURN_NONE
39.2,c2f54552-f06f-11ee-b9a9-fb353e7798cd,EMERGENCY_MODE,0,1696517582222976833,0,-11.106758,TURN_NONE
38.7,c2f54552-f06f-11ee-b9a9-fb353e7798cd,EMERGENCY_MODE,0,1696517582253479020,0,-11.106758,TURN_NONE
38.2,c2f54552-f06f-11ee-b9a9-fb353e7798cd,EMERGENCY_MODE,0,1696517582289416771,0,-11.106758,TURN_NONE
37.2,c2f54552-f06f-11ee-b9a9-fb353e7798cd,EMERGENCY_MODE,0,1696517582321654788,0,-11.106758,TURN_NONE
35.2,c2f54552-f06f-11ee-b9a9-fb353e7798cd,EMERGENCY_MODE,0,1696517582355354437,0,-11.106758,TURN_NONE
31.3,c2f54552-f06f-11ee-b9a9-fb353e7798cd,EMERGENCY_MODE,0,1696517582387379710,0,-11.106758,TURN_NONE
27.9,c2f54552-f06f-11ee-b9a9-fb353e7798cd,EMERGENCY_MODE,0,1696517582419578363,0,-11.106758,TURN_NONE
20.5,c2f54552-f06f-11ee-b9a9-fb353e7798cd,EMERGENCY_MODE,0,1696517582453322830,0,-11.106758,TURN_NONE
13.2,c2f54552-f06f-11ee-b9a9-fb353e7798cd,EMERGENCY_MODE,0,1696517582487345160,0,-11.106758,TURN_NONE
7.8,c2f54552-f06f-11ee-b9a9-fb353e7798cd,EMERGENCY_MODE,0,1696517582519760263,0,-11.106758,TURN_NONE
5.8,c2f54552-f06f-11ee-b9a9-fb353e7798cd,EMERGENCY_MODE,0,1696517582551444409,0,-11.106758,TURN_NONE
3.4,c2f54552-f06f-11ee-b9a9-fb353e7798cd,EMERGENCY_MODE,0,1696517582585375444,0,-11.106758,TURN_NONE
1.9,c2f54552-f06f-11ee-b9a9-fb353e7798cd,EMERGENCY_MODE,0,1696517582619402218,0,-11.106758,TURN_NONE
1.4,c2f54552-f06f-11ee-b9a9-fb353e7798cd,EMERGENCY_MODE,0,1696517582651561409,0,-11.106758,TURN_NONE
1.4,c2f54552-f06f-11ee-b9a9-fb353e7798cd,EMERGENCY_MODE,0,1696517582683405162,0,-11.106758,TURN_NONE
0.4,c2f54552-f06f-11ee-b9a9-fb353e7798cd,EMERGENCY_MODE,0,1696517582720683233,0,-11.106758,TURN_NONE
0,c2f54552-f06f-11ee-b9a9-fb353e7798cd,EMERGENCY_MODE,0,1696517582749372385,0,-11.106758,TURN_NONE
0,c2f54552-f06f-11ee-b9a9-fb353e7798cd,EMERGENCY_MODE,0,1696517582783419856,0,-11.106758,TURN_NONE
0,c2f54552-f06f-11ee-b9a9-fb353e7798cd,EMERGENCY_MODE,0,1696517582817453854,0,-11.08717,TURN_NONE
0,c2f54552-f06f-11ee-b9a9-fb353e7798cd,EMERGENCY_MODE,0,1696517582849416325,0,-11.08717,TURN_NONE
0,c2f54552-f06f-11ee-b9a9-fb353e7798cd,EMERGENCY_MODE,0,1696517582881460950,0,-11.08717,TURN_NONE
0,c2f54552-f06f-11ee-b9a9-fb353e7798cd,EMERGENCY_MODE,0,1696517582915997283,0,-11.08717,TURN_NONE
0,c2f54552-f06f-11ee-b9a9-fb353e7798cd,EMERGENCY_MODE,0,1696517582947401238,3.9,-11.08717,TURN_NONE
0,c2f54552-f06f-11ee-b9a9-fb353e7798cd,EMERGENCY_MODE,0,1696517582990554764,7.9,-11.204701,TURN_NONE
0,c2f54552-f06f-11ee-b9a9-fb353e7798cd,EMERGENCY_MODE,0,1696517583013632014,8.2,-11.51812,TURN_NONE
0,c2f54552-f06f-11ee-b9a9-fb353e7798cd,EMERGENCY_MODE,0,1696517583047724809,8.2,-12.135161,TURN_NONE
0,c2f54552-f06f-11ee-b9a9-fb353e7798cd,EMERGENCY_MODE,0,1696517583079435382,8.2,-12.781587,TURN_NONE
0,c2f54552-f06f-11ee-b9a9-fb353e7798cd,EMERGENCY_MODE,0,1696517583115445043,8.2,-13.839374,TURN_NONE
0,c2f54552-f06f-11ee-b9a9-fb353e7798cd,EMERGENCY_MODE,0,1696517583145358002,8.2,-14.711067,TURN_NONE
0,c2f54552-f06f-11ee-b9a9-fb353e7798cd,EMERGENCY_MODE,0,1696517583179956030,8.2,-15.62194,TURN_NONE
0,c2f54552-f06f-11ee-b9a9-fb353e7798cd,EMERGENCY_MODE,0,1696517583211536859,8.2,-16.748285,TURN_NONE
0,c2f54552-f06f-11ee-b9a9-fb353e7798cd,EMERGENCY_MODE,0,1696517583245577549,8.2,-17.600391,TURN_NONE
0,c2f54552-f06f-11ee-b9a9-fb353e7798cd,EMERGENCY_MODE,0,1696517583277517035,8.2,-19.059746,TURN_NONE
0,c2f54552-f06f-11ee-b9a9-fb353e7798cd,EMERGENCY_MODE,0,1696517583311872127,8.2,-20.303623,TURN_NONE
0,c2f54552-f06f-11ee-b9a9-fb353e7798cd,EMERGENCY_MODE,0,1696517583343403277,8.2,-21.498531,TURN_NONE
0,c2f54552-f06f-11ee-b9a9-fb353e7798cd,EMERGENCY_MODE,0,1696517583377742067,7.5,-23.37904,TURN_NONE
0,c2f54552-f06f-11ee-b9a9-fb353e7798cd,EMERGENCY_MODE,0,1696517583409472949,6.4,-24.96572,TURN_NONE
