groupMetadataID,event,time,position.alt_msl,position.latitude,position.longitude,type
c8f54ac0-ebd2-11ee-b297-3b0ad9d5d6c6,,1703009681241413189,,,,['ROUND_ABOUT']
c8f54ac0-ebd2-11ee-b297-3b0ad9d5d6c6,system 3beep - refused engagement,1703009754376644841,,,,['UNKNOWN']
c8f54ac0-ebd2-11ee-b297-3b0ad9d5d6c6,parked delivery vehicle impeding lane,1703009861623149855,,,,['TRAFFIC_FAULT']
c8f54ac0-ebd2-11ee-b297-3b0ad9d5d6c6,safety,1703009996579890591,,,,['OTHER']
c8f54ac0-ebd2-11ee-b297-3b0ad9d5d6c6,Van accelerated on red light considered it was green,1703010073526693600,,,,['TRAFFIC_LIGHT']
c8f54ac0-ebd2-11ee-b297-3b0ad9d5d6c6,turning vehicle,1703010147979098959,,,,['OBJ_DETECTION']
c8f54ac0-ebd2-11ee-b297-3b0ad9d5d6c6,successfuly turned at light,1703010252291657524,,,,['NOT_DISENGAGEMENT']
c8f54ac0-ebd2-11ee-b297-3b0ad9d5d6c6,,1703010263969626123,,,,['RAILROAD']
c8f54ac0-ebd2-11ee-b297-3b0ad9d5d6c6,,1703010362532496193,,,,
c8f54ac0-ebd2-11ee-b297-3b0ad9d5d6c6,pedestrians walking on shoulder,1703010399977491140,,,,['NOT_DISENGAGEMENT']
c8f54ac0-ebd2-11ee-b297-3b0ad9d5d6c6,turned on radar,1703010658915562688,,,,['OTHER']
c8f54ac0-ebd2-11ee-b297-3b0ad9d5d6c6,did not see vehicles stopped at light,1703010699581720777,,,,['TRAFFIC_LIGHT']
c8f54ac0-ebd2-11ee-b297-3b0ad9d5d6c6,,1703010827904149893,,,,['TRAFFIC_FAULT']
c8f54ac0-ebd2-11ee-b297-3b0ad9d5d6c6,systemm ,1703010853956024099,,,,['OTHER']
c8f54ac0-ebd2-11ee-b297-3b0ad9d5d6c6,tarffic,1703010861104723680,,,,['TRAFFIC_FAULT']
c8f54ac0-ebd2-11ee-b297-3b0ad9d5d6c6,,1703011300489700545,,,,['RAILROAD']
c8f54ac0-ebd2-11ee-b297-3b0ad9d5d6c6,,1703011329761174021,,,,['EOR']
