brakePercentage,groupMetadataID,drivingMode,speedMps,time,throttlePercentage,steeringPercentage,signal.turnSignal
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,3.65,1703706912377218835,14.1,31.616062,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,3.66,1703706912410303289,14.1,30.675808,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,3.69,1703706912445600629,14.1,29.41234,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,3.71,1703706912474325909,14.1,28.452497,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,3.73,1703706912510443096,14.1,27.18903,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,3.74,1703706912557948049,14.2,26.219393,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,3.76,1703706912577568590,14.2,25.25955,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,3.78,1703706912607872382,14.2,24.025465,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,3.78,1703706912648278181,14.2,23.08521,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,3.8,1703706912673956074,14.2,21.880508,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,3.82,1703706912710879278,14.2,21.01861,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,3.83,1703706912742054949,14.2,20.186092,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,3.83,1703706912774002770,14.2,19.108717,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,3.85,1703706912805212189,14.3,18.354555,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,3.87,1703706912838452709,14.3,17.433887,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,3.89,1703706912872384159,14.3,16.767874,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,3.9,1703706912906347517,14.3,16.767874,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,3.92,1703706912938358947,14.3,16.10186,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,3.93,1703706912973885631,14.3,15.230166,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,3.94,1703706913005591618,14.3,14.593535,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,3.95,1703706913036104085,14.4,13.770813,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,3.96,1703706913073545663,14.6,13.15377,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,3.97,1703706913101897552,14.6,12.575906,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,3.98,1703706913136098253,15,11.841332,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,3.99,1703706913168943992,15.3,11.36141,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.01,1703706913202007338,15.6,10.744369,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.01,1703706913236369780,15.8,10.284036,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.03,1703706913275416011,15.9,9.843291,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.04,1703706913305037554,16,9.226249,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.05,1703706913334228212,16,8.814887,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.06,1703706913366397473,16.3,8.315377,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.08,1703706913412180763,16.4,7.9823704,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.09,1703706913431995143,16.5,7.6885405,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.11,1703706913466029889,16.5,7.394711,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.12,1703706913497819749,16.5,7.257591,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.14,1703706913531834131,16.6,7.2282076,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.15,1703706913563910908,16.6,7.2282076,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.16,1703706913597817628,16.7,7.2282076,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.18,1703706913629845353,16.7,7.2282076,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.19,1703706913663961203,16.7,7.2282076,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.2,1703706913696279678,16.7,7.2282076,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.22,1703706913729786760,16.7,7.2282076,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.23,1703706913773132332,16.7,7.257591,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.25,1703706913794719729,16.8,7.2771792,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.26,1703706913833610193,16.8,7.2771792,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.26,1703706913861009023,16.8,7.2967677,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.29,1703706913897905023,16.8,7.2967677,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.29,1703706913928065752,16.8,7.2967677,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.31,1703706913960549663,16.8,7.2967677,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.34,1703706913992103084,16.8,7.2967677,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.35,1703706914026493364,16.8,7.2967677,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.36,1703706914059836570,16.8,7.2967677,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.38,1703706914092767028,17.1,7.2967677,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.39,1703706914123901946,17.3,7.2967677,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.41,1703706914158453783,17.4,7.2967677,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.42,1703706914192366337,17.4,7.2967677,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.43,1703706914224300577,17.7,7.2771792,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.45,1703706914258570221,17.7,7.2967677,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.46,1703706914291362325,17.7,7.2771792,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.48,1703706914322047264,17.7,7.2771792,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.49,1703706914355874854,17.7,7.2967677,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.51,1703706914389934258,17.7,7.2967677,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.53,1703706914422085864,17.7,7.2771792,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.54,1703706914456148208,17.7,7.2771792,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.55,1703706914488244740,17.7,7.2771792,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.57,1703706914522160047,17.8,7.2771792,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.59,1703706914557629692,17.8,7.257591,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.6,1703706914588211818,17.8,7.2771792,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.61,1703706914620013351,17.8,7.2771792,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.63,1703706914653883305,17.8,7.2771792,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.64,1703706914690165766,17.8,7.2771792,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.65,1703706914722256973,17.8,7.257591,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.67,1703706914752064633,17.8,7.257591,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.69,1703706914787522482,17.8,7.257591,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.7,1703706914817802148,17.8,7.257591,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.72,1703706914855359593,17.8,7.247796,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.75,1703706914884263916,17.8,7.247796,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.75,1703706914917933510,17.8,7.208619,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.75,1703706914950713290,17.8,7.140059,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.77,1703706914983691019,17.8,6.98335,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.78,1703706915016246536,17.8,6.98335,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.79,1703706915050576190,17.8,6.8168464,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.81,1703706915091338278,17.8,6.111655,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.82,1703706915115894996,17.8,5.6904993,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.84,1703706915149602609,17.8,5.6904993,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.85,1703706915179859454,17.8,5.1028404,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.86,1703706915214098107,17.8,4.662096,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.88,1703706915248036412,17.8,4.0940256,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.89,1703706915280393609,17.8,3.7218413,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.91,1703706915311794679,17.8,3.3790402,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.93,1703706915346265299,17.8,2.9382958,TURN_NONE
0,c9be2042-f0de-11ee-ba1e-fb353e7798cd,EMERGENCY_MODE,4.94,1703706915379989077,17.8,2.6150832,TURN_NONE
