groupMetadataID,event,time,position.alt_msl,position.latitude,position.longitude,type
cf7148d8-f058-11ee-b98a-fb353e7798cd,,1694543320194313484,,,,['LOCALIZATION']
cf7148d8-f058-11ee-b98a-fb353e7798cd,,1694543409119160841,,,,['LOCALIZATION']
cf7148d8-f058-11ee-b98a-fb353e7798cd,interesting lane correction,1694543433343006304,,,,"['UNKNOWN', 'NOT_DISENGAGEMENT']"
cf7148d8-f058-11ee-b98a-fb353e7798cd,approaching crosstraffic,1694543634398187527,,,,"['TRAFFIC_FAULT', 'INTERSECTION', 'INTENTIONAL']"
cf7148d8-f058-11ee-b98a-fb353e7798cd,oscilation/float,1694543700620073109,,,,"['UNKNOWN', 'LOCALIZATION', 'NOT_DISENGAGEMENT']"
cf7148d8-f058-11ee-b98a-fb353e7798cd,oscillation/float,1694543783094030851,,,,['NOT_DISENGAGEMENT']
cf7148d8-f058-11ee-b98a-fb353e7798cd,jerk,1694543830599283870,,,,['NOT_DISENGAGEMENT']
cf7148d8-f058-11ee-b98a-fb353e7798cd,oosckilaitoin,1694543873770224313,,,,"['LOCALIZATION', 'NOT_DISENGAGEMENT']"
cf7148d8-f058-11ee-b98a-fb353e7798cd,opposing traffic brush cutter,1694543963781625452,,,,['INTENTIONAL']
cf7148d8-f058-11ee-b98a-fb353e7798cd,,1694543969026835739,,,,['EOR']
