groupMetadataID,event,time,position.alt_msl,position.latitude,position.longitude,type
d3698592-ef9d-11ee-b966-fb353e7798cd,traffic,1693325750668602308,,,,['OTHER']
d3698592-ef9d-11ee-b966-fb353e7798cd,,1693325876475694653,,,,['LOCALIZATION']
d3698592-ef9d-11ee-b966-fb353e7798cd,,1693326206058911771,,,,['TRAFFIC_FAULT']
d3698592-ef9d-11ee-b966-fb353e7798cd,,1693326358822221131,,,,['TRAFFIC_FAULT']
d3698592-ef9d-11ee-b966-fb353e7798cd,semi truck,1693326503125812907,,,,['OBJ_DETECTION']
d3698592-ef9d-11ee-b966-fb353e7798cd,,1693326511333066931,,,,['LOCALIZATION']
d3698592-ef9d-11ee-b966-fb353e7798cd,,1693326558947397453,,,,['LOCALIZATION']
d3698592-ef9d-11ee-b966-fb353e7798cd,,1693326600115235554,,,,['LOCALIZATION']
d3698592-ef9d-11ee-b966-fb353e7798cd,speed limit error,1693326701345179070,,,,['OTHER']
d3698592-ef9d-11ee-b966-fb353e7798cd,lost throttle brake not steering,1693326791213667747,,,,['UNKNOWN']
d3698592-ef9d-11ee-b966-fb353e7798cd,construction,1693327075606699135,,,,['OTHER']
d3698592-ef9d-11ee-b966-fb353e7798cd,,1693327317823353821,,,,['LOCALIZATION']
d3698592-ef9d-11ee-b966-fb353e7798cd,end of route,1693327333264955134,,,,['OTHER']
