groupMetadataID,event,time,position.alt_msl,position.latitude,position.longitude,type
d62ee6e8-ed02-11ee-9385-ef789ffde1d3,,1704999046134473408,,,,['ROUND_ABOUT']
d62ee6e8-ed02-11ee-9385-ef789ffde1d3,brake event,1704999121676616137,,,,"['UNKNOWN', 'INTERSECTION']"
d62ee6e8-ed02-11ee-9385-ef789ffde1d3,traffic obstruction,1704999190344878120,,,,
d62ee6e8-ed02-11ee-9385-ef789ffde1d3,registers red light as green,1704999215042773173,,,,['TRAFFIC_LIGHT']
d62ee6e8-ed02-11ee-9385-ef789ffde1d3,no stopping at intersection,1704999455049428431,,,,"['UNKNOWN', 'TRAFFIC_LIGHT']"
d62ee6e8-ed02-11ee-9385-ef789ffde1d3,traffic fault,1704999510912659870,,,,
d62ee6e8-ed02-11ee-9385-ef789ffde1d3,,1704999968107807665,,,,['TRAFFIC_FAULT']
d62ee6e8-ed02-11ee-9385-ef789ffde1d3,,1705000226212492250,,,,['INTERSECTION']
d62ee6e8-ed02-11ee-9385-ef789ffde1d3,,1705000458559916332,,,,['TRAFFIC_FAULT']
d62ee6e8-ed02-11ee-9385-ef789ffde1d3,,1705000682459500565,,,,['RAILROAD']
