brakePercentage,groupMetadataID,drivingMode,speedMps,time,throttlePercentage,steeringPercentage,signal.turnSignal
0,d7cb9c92-f164-11ee-ba97-fb353e7798cd,EMERGENCY_MODE,4.09,1706635291089715484,0,0.16650343,TURN_NONE
0,d7cb9c92-f164-11ee-ba97-fb353e7798cd,EMERGENCY_MODE,4.09,1706635291120924771,0,0.097943194,TURN_NONE
0,d7cb9c92-f164-11ee-ba97-fb353e7798cd,EMERGENCY_MODE,4.1,1706635291155157066,0,0.009794319,TURN_NONE
0,d7cb9c92-f164-11ee-ba97-fb353e7798cd,EMERGENCY_MODE,4.11,1706635291186907257,0,-0.048971597,TURN_NONE
0,d7cb9c92-f164-11ee-ba97-fb353e7798cd,EMERGENCY_MODE,4.11,1706635291221373715,0,-0.11753183,TURN_NONE
0,d7cb9c92-f164-11ee-ba97-fb353e7798cd,EMERGENCY_MODE,4.12,1706635291252860451,0,-0.16650343,TURN_NONE
0,d7cb9c92-f164-11ee-ba97-fb353e7798cd,EMERGENCY_MODE,4.13,1706635291290558899,0,-0.2546523,TURN_NONE
0,d7cb9c92-f164-11ee-ba97-fb353e7798cd,EMERGENCY_MODE,4.13,1706635291319031959,0,-0.37218413,TURN_NONE
0,d7cb9c92-f164-11ee-ba97-fb353e7798cd,EMERGENCY_MODE,4.13,1706635291353885684,0,-0.37218413,TURN_NONE
0.9,d7cb9c92-f164-11ee-ba97-fb353e7798cd,EMERGENCY_MODE,4.15,1706635291385065357,0,-0.5778648,TURN_NONE
3.9,d7cb9c92-f164-11ee-ba97-fb353e7798cd,EMERGENCY_MODE,4.15,1706635291419151238,0,-0.74436826,TURN_NONE
6.3,d7cb9c92-f164-11ee-ba97-fb353e7798cd,EMERGENCY_MODE,4.15,1706635291450992194,0,-0.74436826,TURN_NONE
9.8,d7cb9c92-f164-11ee-ba97-fb353e7798cd,EMERGENCY_MODE,4.16,1706635291485370723,0,-0.9892262,TURN_NONE
13.2,d7cb9c92-f164-11ee-ba97-fb353e7798cd,EMERGENCY_MODE,4.16,1706635291517812616,0,-0.9892262,TURN_NONE
13.2,d7cb9c92-f164-11ee-ba97-fb353e7798cd,EMERGENCY_MODE,4.16,1706635291551333561,0,-1.0675808,TURN_NONE
17.1,d7cb9c92-f164-11ee-ba97-fb353e7798cd,EMERGENCY_MODE,4.16,1706635291582886029,0,-1.1067581,TURN_NONE
17.1,d7cb9c92-f164-11ee-ba97-fb353e7798cd,EMERGENCY_MODE,4.16,1706635291617210277,0,-1.1067581,TURN_NONE
14.2,d7cb9c92-f164-11ee-ba97-fb353e7798cd,EMERGENCY_MODE,4.17,1706635291648853689,0,-1.1067581,TURN_NONE
12.7,d7cb9c92-f164-11ee-ba97-fb353e7798cd,EMERGENCY_MODE,4.17,1706635291685368877,0,-1.1067581,TURN_NONE
9.8,d7cb9c92-f164-11ee-ba97-fb353e7798cd,EMERGENCY_MODE,4.17,1706635291712947920,0,-1.1067581,TURN_NONE
8.8,d7cb9c92-f164-11ee-ba97-fb353e7798cd,EMERGENCY_MODE,4.18,1706635291751596785,0,-1.0871694,TURN_NONE
7.8,d7cb9c92-f164-11ee-ba97-fb353e7798cd,EMERGENCY_MODE,4.18,1706635291780916861,0,-1.0871694,TURN_NONE
7.3,d7cb9c92-f164-11ee-ba97-fb353e7798cd,EMERGENCY_MODE,4.18,1706635291815033237,0,-1.0871694,TURN_NONE
7.3,d7cb9c92-f164-11ee-ba97-fb353e7798cd,EMERGENCY_MODE,4.19,1706635291846858998,0,-1.0871694,TURN_NONE
6.3,d7cb9c92-f164-11ee-ba97-fb353e7798cd,EMERGENCY_MODE,4.19,1706635291880993274,0,-1.0871694,TURN_NONE
4.9,d7cb9c92-f164-11ee-ba97-fb353e7798cd,EMERGENCY_MODE,4.19,1706635291913008584,0,-1.0871694,TURN_NONE
3.4,d7cb9c92-f164-11ee-ba97-fb353e7798cd,EMERGENCY_MODE,4.2,1706635291946905187,0,-1.1067581,TURN_NONE
1.9,d7cb9c92-f164-11ee-ba97-fb353e7798cd,EMERGENCY_MODE,4.21,1706635291978937497,0,-1.1067581,TURN_NONE
1.4,d7cb9c92-f164-11ee-ba97-fb353e7798cd,EMERGENCY_MODE,4.21,1706635292013084641,0,-1.1067581,TURN_NONE
0.9,d7cb9c92-f164-11ee-ba97-fb353e7798cd,EMERGENCY_MODE,4.21,1706635292045010362,0,-1.1067581,TURN_NONE
0,d7cb9c92-f164-11ee-ba97-fb353e7798cd,EMERGENCY_MODE,4.21,1706635292078996523,0,-1.1067581,TURN_NONE
0,d7cb9c92-f164-11ee-ba97-fb353e7798cd,EMERGENCY_MODE,4.21,1706635292110911618,0,-1.1067581,TURN_NONE
0,d7cb9c92-f164-11ee-ba97-fb353e7798cd,EMERGENCY_MODE,4.22,1706635292145028009,0,-1.1067581,TURN_NONE
0,d7cb9c92-f164-11ee-ba97-fb353e7798cd,EMERGENCY_MODE,4.22,1706635292176960880,0,-1.1067581,TURN_NONE
0,d7cb9c92-f164-11ee-ba97-fb353e7798cd,EMERGENCY_MODE,4.23,1706635292210966025,0,-1.1067581,TURN_NONE
0,d7cb9c92-f164-11ee-ba97-fb353e7798cd,EMERGENCY_MODE,4.24,1706635292242983934,0,-1.1067581,TURN_NONE
0,d7cb9c92-f164-11ee-ba97-fb353e7798cd,EMERGENCY_MODE,4.24,1706635292276843479,0,-1.1067581,TURN_NONE
0,d7cb9c92-f164-11ee-ba97-fb353e7798cd,EMERGENCY_MODE,4.25,1706635292308875092,0,-1.0871694,TURN_NONE
0,d7cb9c92-f164-11ee-ba97-fb353e7798cd,EMERGENCY_MODE,4.25,1706635292342889441,0,-1.0871694,TURN_NONE
0,d7cb9c92-f164-11ee-ba97-fb353e7798cd,EMERGENCY_MODE,4.26,1706635292375184118,0,-1.1067581,TURN_NONE
0,d7cb9c92-f164-11ee-ba97-fb353e7798cd,EMERGENCY_MODE,4.26,1706635292409168461,0,-1.1067581,TURN_NONE
0,d7cb9c92-f164-11ee-ba97-fb353e7798cd,EMERGENCY_MODE,4.27,1706635292440939359,0,-1.1067581,TURN_NONE
0,d7cb9c92-f164-11ee-ba97-fb353e7798cd,EMERGENCY_MODE,4.28,1706635292474975737,0,-1.1067581,TURN_NONE
0,d7cb9c92-f164-11ee-ba97-fb353e7798cd,EMERGENCY_MODE,4.28,1706635292506885317,0,-1.1067581,TURN_NONE
0,d7cb9c92-f164-11ee-ba97-fb353e7798cd,EMERGENCY_MODE,4.28,1706635292541303603,0,-1.1067581,TURN_NONE
0,d7cb9c92-f164-11ee-ba97-fb353e7798cd,EMERGENCY_MODE,4.29,1706635292575787322,0,-1.1067581,TURN_NONE
0,d7cb9c92-f164-11ee-ba97-fb353e7798cd,EMERGENCY_MODE,4.3,1706635292607440696,0,-1.1067581,TURN_NONE
0,d7cb9c92-f164-11ee-ba97-fb353e7798cd,EMERGENCY_MODE,4.3,1706635292638969766,0,-1.1067581,TURN_NONE
0,d7cb9c92-f164-11ee-ba97-fb353e7798cd,EMERGENCY_MODE,4.31,1706635292673052486,0,-1.1067581,TURN_NONE
0,d7cb9c92-f164-11ee-ba97-fb353e7798cd,EMERGENCY_MODE,4.31,1706635292705004774,0,-1.1067581,TURN_NONE
0,d7cb9c92-f164-11ee-ba97-fb353e7798cd,EMERGENCY_MODE,4.32,1706635292739212246,0,-1.1067581,TURN_NONE
