brakePercentage,groupMetadataID,drivingMode,speedMps,time,throttlePercentage,steeringPercentage,signal.turnSignal
0,d846a080-f115-11ee-ba51-fb353e7798cd,COMPLETE_MANUAL,0,1705940702773642657,0,-28.168463,TURN_NONE
0,d846a080-f115-11ee-ba51-fb353e7798cd,COMPLETE_MANUAL,0,1705940702809428570,0,-28.491674,TURN_NONE
0,d846a080-f115-11ee-ba51-fb353e7798cd,COMPLETE_MANUAL,0,1705940702839607089,0,-28.903036,TURN_NONE
0,d846a080-f115-11ee-ba51-fb353e7798cd,COMPLETE_MANUAL,0,1705940702872012137,0,-29.20666,TURN_NONE
0,d846a080-f115-11ee-ba51-fb353e7798cd,COMPLETE_MANUAL,0,1705940702905443796,0,-29.529873,TURN_NONE
0,d846a080-f115-11ee-ba51-fb353e7798cd,COMPLETE_MANUAL,0,1705940702945516604,0,-30,TURN_NONE
0,d846a080-f115-11ee-ba51-fb353e7798cd,COMPLETE_MANUAL,0,1705940702971672665,0,-30,TURN_NONE
0,d846a080-f115-11ee-ba51-fb353e7798cd,COMPLETE_MANUAL,0,1705940703003491299,0,-30.372185,TURN_NONE
0,d846a080-f115-11ee-ba51-fb353e7798cd,COMPLETE_MANUAL,0,1705940703037306978,0,-30.803135,TURN_NONE
0,d846a080-f115-11ee-ba51-fb353e7798cd,COMPLETE_MANUAL,0,1705940703069342059,0,-31.400587,TURN_NONE
0,d846a080-f115-11ee-ba51-fb353e7798cd,COMPLETE_MANUAL,0,1705940703103367005,0,-31.909893,TURN_NONE
0,d846a080-f115-11ee-ba51-fb353e7798cd,COMPLETE_MANUAL,0,1705940703135432263,0,-32.664055,TURN_NONE
0,d846a080-f115-11ee-ba51-fb353e7798cd,COMPLETE_MANUAL,0,1705940703169631299,0,-33.222332,TURN_NONE
0,d846a080-f115-11ee-ba51-fb353e7798cd,COMPLETE_MANUAL,0,1705940703201497808,3.2,-34.084232,TURN_NONE
0,d846a080-f115-11ee-ba51-fb353e7798cd,COMPLETE_MANUAL,0,1705940703235423085,3.7,-34.701275,TURN_NONE
0,d846a080-f115-11ee-ba51-fb353e7798cd,COMPLETE_MANUAL,0,1705940703267729392,4.1,-35.298725,TURN_NONE
0,d846a080-f115-11ee-ba51-fb353e7798cd,COMPLETE_MANUAL,0,1705940703301390765,4.3,-36.08227,TURN_NONE
0,d846a080-f115-11ee-ba51-fb353e7798cd,COMPLETE_MANUAL,0,1705940703333451924,4.6,-36.70911,TURN_NONE
0,d846a080-f115-11ee-ba51-fb353e7798cd,COMPLETE_MANUAL,0,1705940703367516715,4.8,-37.34574,TURN_NONE
0,d846a080-f115-11ee-ba51-fb353e7798cd,COMPLETE_MANUAL,0,1705940703402988383,4.8,-38.129284,TURN_NONE
0,d846a080-f115-11ee-ba51-fb353e7798cd,COMPLETE_MANUAL,0,1705940703433348190,4.8,-38.716946,TURN_NONE
0,d846a080-f115-11ee-ba51-fb353e7798cd,COMPLETE_MANUAL,0,1705940703465424928,4.8,-39.46131,TURN_NONE
0,d846a080-f115-11ee-ba51-fb353e7798cd,COMPLETE_MANUAL,0,1705940703499432214,4.8,-39.960823,TURN_NONE
0,d846a080-f115-11ee-ba51-fb353e7798cd,COMPLETE_MANUAL,0,1705940703531361227,4.8,-40.558277,TURN_NONE
0,d846a080-f115-11ee-ba51-fb353e7798cd,COMPLETE_MANUAL,0,1705940703565469747,4.8,-40.920666,TURN_NONE
0,d846a080-f115-11ee-ba51-fb353e7798cd,COMPLETE_MANUAL,0,1705940703597447608,5.2,-41.22429,TURN_NONE
0,d846a080-f115-11ee-ba51-fb353e7798cd,COMPLETE_MANUAL,0,1705940703631479747,5.4,-41.75318,TURN_NONE
0,d846a080-f115-11ee-ba51-fb353e7798cd,COMPLETE_MANUAL,0,1705940703664017076,5.9,-42.144955,TURN_NONE
0,d846a080-f115-11ee-ba51-fb353e7798cd,COMPLETE_MANUAL,0,1705940703697435198,6.3,-42.48776,TURN_NONE
0,d846a080-f115-11ee-ba51-fb353e7798cd,COMPLETE_MANUAL,0,1705940703729352724,6.8,-42.938297,TURN_NONE
0,d846a080-f115-11ee-ba51-fb353e7798cd,COMPLETE_MANUAL,0,1705940703767183805,7.5,-43.31048,TURN_NONE
0,d846a080-f115-11ee-ba51-fb353e7798cd,COMPLETE_MANUAL,0,1705940703795449316,7.5,-43.761017,TURN_NONE
0,d846a080-f115-11ee-ba51-fb353e7798cd,COMPLETE_MANUAL,0,1705940703831258500,7.5,-44.045055,TURN_NONE
0,d846a080-f115-11ee-ba51-fb353e7798cd,COMPLETE_MANUAL,0,1705940703861618642,7.5,-44.319294,TURN_NONE
