groupMetadataID,event,time,position.alt_msl,position.latitude,position.longitude,type
d94ef300-ed60-11ee-9385-ef789ffde1d3,,1691075715042485382,,,,['ROUND_ABOUT']
d94ef300-ed60-11ee-9385-ef789ffde1d3,,1691075770073098468,,,,"['INTERSECTION', 'TRAFFIC_LIGHT']"
d94ef300-ed60-11ee-9385-ef789ffde1d3,not on the same lane,1691075903787262696,,,,['TRAFFIC_LIGHT']
d94ef300-ed60-11ee-9385-ef789ffde1d3,,1691075928923771342,,,,['TRAFFIC_FAULT']
d94ef300-ed60-11ee-9385-ef789ffde1d3,running red light,1691076015245794865,,,,['TRAFFIC_LIGHT']
d94ef300-ed60-11ee-9385-ef789ffde1d3,,1691076059792972377,,,,['TRAFFIC_FAULT']
d94ef300-ed60-11ee-9385-ef789ffde1d3,,1691076071657641130,,,,['ROUND_ABOUT']
d94ef300-ed60-11ee-9385-ef789ffde1d3,,1691076185016735198,,,,['LOCALIZATION']
d94ef300-ed60-11ee-9385-ef789ffde1d3,dids not stop for stopped traffic at less than 30mph,1691076250612304426,,,,['OBJ_DETECTION']
d94ef300-ed60-11ee-9385-ef789ffde1d3,,1691076285304189176,,,,['RAILROAD']
d94ef300-ed60-11ee-9385-ef789ffde1d3,did not detrect static traffic,1691076534829284529,,,,['OBJ_DETECTION']
d94ef300-ed60-11ee-9385-ef789ffde1d3,,1691076721997528270,,,,['TRAFFIC_LIGHT']
d94ef300-ed60-11ee-9385-ef789ffde1d3,up hill,1691076920788687197,,,,['UNKNOWN']
d94ef300-ed60-11ee-9385-ef789ffde1d3,,1691076979747996767,,,,['TRAFFIC_LIGHT']
d94ef300-ed60-11ee-9385-ef789ffde1d3,coming to a full stop for other vehicles,1691077031239897310,,,,['OBJ_DETECTION']
d94ef300-ed60-11ee-9385-ef789ffde1d3,over size vehicle,1691077144570780691,,,,['OTHER']
d94ef300-ed60-11ee-9385-ef789ffde1d3,large vehicle in front,1691077341678845613,,,,['OBJ_DETECTION']
