groupMetadataID,event,time,position.alt_msl,position.latitude,position.longitude,type
e9d67bf2-ec35-11ee-b297-3b0ad9d5d6c6,,1703617615119988851,,,,['ROUND_ABOUT']
e9d67bf2-ec35-11ee-b297-3b0ad9d5d6c6,"c/l
",1703617939369040095,,,,['LOCALIZATION']
e9d67bf2-ec35-11ee-b297-3b0ad9d5d6c6,,1703617947347691866,,,,['LOCALIZATION']
e9d67bf2-ec35-11ee-b297-3b0ad9d5d6c6,,1703617954070208200,,,,['ROUND_ABOUT']
e9d67bf2-ec35-11ee-b297-3b0ad9d5d6c6,car turning right,1703618073605683725,,,,['OBJ_DETECTION']
e9d67bf2-ec35-11ee-b297-3b0ad9d5d6c6,mail truck,1703618089688871522,,,,['OBJ_DETECTION']
e9d67bf2-ec35-11ee-b297-3b0ad9d5d6c6,rain,1703618125776343027,,,,['INTERSECTION']
e9d67bf2-ec35-11ee-b297-3b0ad9d5d6c6,swerve left,1703618207727966854,,,,
e9d67bf2-ec35-11ee-b297-3b0ad9d5d6c6,pedestrian,1703618351959791265,,,,['NOT_DISENGAGEMENT']
e9d67bf2-ec35-11ee-b297-3b0ad9d5d6c6,,1703618484053876584,,,,['OBJ_DETECTION']
e9d67bf2-ec35-11ee-b297-3b0ad9d5d6c6,swerve right,1703618581160774883,,,,"['OTHER', 'NOT_DISENGAGEMENT']"
e9d67bf2-ec35-11ee-b297-3b0ad9d5d6c6,,1703618595369960117,,,,['OBJ_DETECTION']
e9d67bf2-ec35-11ee-b297-3b0ad9d5d6c6,oncoming traffic,1703618725717909092,,,,['LOCALIZATION']
e9d67bf2-ec35-11ee-b297-3b0ad9d5d6c6,,1703619141007600772,,,,['RAILROAD']
