brakePercentage,groupMetadataID,drivingMode,speedMps,time,throttlePercentage,steeringPercentage,signal.turnSignal
41.1,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0,1694534039436576482,0,-0.4015671,TURN_NONE
41.1,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0,1694534039472544478,0,-0.4015671,TURN_NONE
41.1,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0,1694534039503355891,0,-0.4015671,TURN_NONE
41.1,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0,1694534039537696383,0,-0.4015671,TURN_NONE
41.1,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0,1694534039576315989,0,-0.4015671,TURN_NONE
41.1,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0,1694534039600970777,0,-0.4015671,TURN_NONE
41.1,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0,1694534039635337767,0,-0.4015671,TURN_NONE
41.1,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0,1694534039668667094,0,-0.4015671,TURN_NONE
41.1,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0,1694534039703594750,0,-0.4015671,TURN_NONE
40.6,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0,1694534039743324711,0,-0.4015671,TURN_NONE
40.6,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0,1694534039767191289,0,-0.4015671,TURN_NONE
40.1,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0,1694534039802032575,0,-0.4015671,TURN_NONE
39.7,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0,1694534039834701949,0,-0.4015671,TURN_NONE
38.7,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0,1694534039871789786,0,-0.4015671,TURN_NONE
37.7,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0,1694534039899111267,0,-0.4015671,TURN_NONE
35.2,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0,1694534039938071857,0,-0.4015671,TURN_NONE
34.3,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0,1694534039967298180,0,-0.4015671,TURN_NONE
29.4,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0,1694534040005692590,0,-0.4015671,TURN_NONE
19.1,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0,1694534040032721128,0,-0.4015671,TURN_NONE
16.1,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0,1694534040075729986,0,-0.4015671,TURN_NONE
10.7,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0,1694534040097828132,0,-0.4015671,TURN_NONE
6.8,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0,1694534040131238889,0,-0.4015671,TURN_NONE
3.9,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0,1694534040164081279,0,-0.4015671,TURN_NONE
3.9,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0,1694534040217892198,0,-0.4015671,TURN_NONE
1.4,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0,1694534040263751266,0,-0.4015671,TURN_NONE
0.9,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0,1694534040275469408,0,-0.4015671,TURN_NONE
0.9,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0,1694534040297326972,0,-0.4015671,TURN_NONE
0,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0,1694534040347959806,0,-0.4015671,TURN_NONE
0,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0,1694534040363920113,0,-0.4015671,TURN_NONE
0,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0,1694534040395969918,0,-0.4015671,TURN_NONE
0,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0,1694534040432014386,0,-0.4015671,TURN_NONE
0,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0,1694534040460686142,3.2,-0.4015671,TURN_NONE
0,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0,1694534040516814379,4.5,-0.4015671,TURN_NONE
0,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0,1694534040529229480,4.5,-0.4015671,TURN_NONE
0,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0,1694534040559053221,4.5,-0.4015671,TURN_NONE
0,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0,1694534040593456381,5.2,-0.4015671,TURN_NONE
0,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0,1694534040625061634,5.9,-0.4015671,TURN_NONE
0,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0,1694534040659357777,7,-0.4015671,TURN_NONE
0,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0,1694534040693903026,7,-0.4015671,TURN_NONE
0,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0,1694534040726257781,7.9,-0.4015671,TURN_NONE
0,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0,1694534040756919800,8.3,-0.4015671,TURN_NONE
0,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0,1694534040791518578,9.2,-0.4015671,TURN_NONE
0,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0,1694534040824827102,9.7,-0.4015671,TURN_NONE
0,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0,1694534040858811569,10.4,-0.4015671,TURN_NONE
0,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0,1694534040889262058,10.8,-0.4015671,TURN_NONE
0,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0,1694534040925804203,11.1,-0.4015671,TURN_NONE
0,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0,1694534040960395294,11.2,-0.4015671,TURN_NONE
0,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0,1694534040986642163,11.2,-0.4015671,TURN_NONE
0,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0,1694534041027991158,11.2,-0.4015671,TURN_NONE
0,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0,1694534041062253843,11.2,-0.4015671,TURN_NONE
0,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0,1694534041090289897,11.2,-0.4015671,TURN_NONE
0,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0,1694534041123445479,11.2,-0.4015671,TURN_NONE
0,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0,1694534041155542465,11.2,-0.4015671,TURN_NONE
0,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0,1694534041187558932,11.2,-0.4015671,TURN_NONE
0,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0,1694534041219991098,11.2,-0.4015671,TURN_NONE
0,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0,1694534041259366092,11.2,-0.42115572,TURN_NONE
0,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0,1694534041307754698,11.2,-0.42115572,TURN_NONE
0,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0,1694534041329034593,11.2,-0.42115572,TURN_NONE
0,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0,1694534041352540701,11.2,-0.4015671,TURN_NONE
0,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0.05,1694534041384458564,11.2,-0.4015671,TURN_NONE
0,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0.12,1694534041416046327,11.2,-0.4015671,TURN_NONE
0,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0.16,1694534041452276101,11.2,-0.4015671,TURN_NONE
0,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0.22,1694534041488422668,11.2,-0.4015671,TURN_NONE
0,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0.27,1694534041529160215,11.2,-0.4015671,TURN_NONE
0,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0.3,1694534041557084435,11.2,-0.4015671,TURN_NONE
0,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0.33,1694534041589893314,11.2,-0.4015671,TURN_NONE
0,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0.36,1694534041628808397,11.2,-0.4015671,TURN_NONE
0,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0.4,1694534041648699908,11.2,-0.4015671,TURN_NONE
0,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0.42,1694534041683774033,11.2,-0.4015671,TURN_NONE
0,ece2a8be-f047-11ee-b97d-fb353e7798cd,EMERGENCY_MODE,0.46,1694534041715160775,11.2,-0.4015671,TURN_NONE
