brakePercentage,groupMetadataID,drivingMode,speedMps,time,throttlePercentage,steeringPercentage,signal.turnSignal
0,f12112ba-f1c0-11ee-bada-fb353e7798cd,COMPLETE_AUTO_DRIVE,14.51,1708459287285527056,56.1,-1.4691479,TURN_NONE
0,f12112ba-f1c0-11ee-bada-fb353e7798cd,COMPLETE_AUTO_DRIVE,14.61,1708459287317239751,54.6,-1.4495592,TURN_NONE
0,f12112ba-f1c0-11ee-bada-fb353e7798cd,COMPLETE_AUTO_DRIVE,14.71,1708459287351304578,53.6,-1.4299706,TURN_NONE
0,f12112ba-f1c0-11ee-bada-fb353e7798cd,COMPLETE_AUTO_DRIVE,14.74,1708459287383229511,52.3,-1.410382,TURN_NONE
0,f12112ba-f1c0-11ee-bada-fb353e7798cd,COMPLETE_AUTO_DRIVE,14.83,1708459287417628952,51.2,-1.410382,TURN_NONE
0,f12112ba-f1c0-11ee-bada-fb353e7798cd,COMPLETE_AUTO_DRIVE,14.92,1708459287449408120,49,-1.380999,TURN_NONE
0,f12112ba-f1c0-11ee-bada-fb353e7798cd,COMPLETE_AUTO_DRIVE,14.97,1708459287483976152,49.5,-1.3614104,TURN_NONE
0,f12112ba-f1c0-11ee-bada-fb353e7798cd,COMPLETE_AUTO_DRIVE,15.06,1708459287516066934,47.4,-1.3124387,TURN_NONE
0,f12112ba-f1c0-11ee-bada-fb353e7798cd,COMPLETE_AUTO_DRIVE,15.14,1708459287549398776,46,-1.2928501,TURN_NONE
0,f12112ba-f1c0-11ee-bada-fb353e7798cd,COMPLETE_AUTO_DRIVE,15.23,1708459287582394790,45.1,-1.2438786,TURN_NONE
0,f12112ba-f1c0-11ee-bada-fb353e7798cd,COMPLETE_AUTO_DRIVE,15.28,1708459287613268783,45.1,-1.2438786,TURN_NONE
0,f12112ba-f1c0-11ee-bada-fb353e7798cd,COMPLETE_AUTO_DRIVE,15.38,1708459287647255676,43.5,-1.2047013,TURN_NONE
0,f12112ba-f1c0-11ee-bada-fb353e7798cd,COMPLETE_AUTO_DRIVE,15.46,1708459287681223235,42.8,-1.1753184,TURN_NONE
0,f12112ba-f1c0-11ee-bada-fb353e7798cd,COMPLETE_AUTO_DRIVE,15.51,1708459287713200857,44.4,-1.1263467,TURN_NONE
0,f12112ba-f1c0-11ee-bada-fb353e7798cd,COMPLETE_AUTO_DRIVE,15.61,1708459287747243770,40.9,-1.0675808,TURN_NONE
0,f12112ba-f1c0-11ee-bada-fb353e7798cd,COMPLETE_AUTO_DRIVE,15.7,1708459287779266467,39.1,-0.96963763,TURN_NONE
0,f12112ba-f1c0-11ee-bada-fb353e7798cd,COMPLETE_AUTO_DRIVE,15.73,1708459287815495493,35.6,-0.92066604,TURN_NONE
0,f12112ba-f1c0-11ee-bada-fb353e7798cd,COMPLETE_AUTO_DRIVE,15.82,1708459287845318815,34.4,-0.88148874,TURN_NONE
0,f12112ba-f1c0-11ee-bada-fb353e7798cd,COMPLETE_AUTO_DRIVE,15.91,1708459287879297943,34.2,-0.8521058,TURN_NONE
0,f12112ba-f1c0-11ee-bada-fb353e7798cd,COMPLETE_AUTO_DRIVE,15.97,1708459287911528829,35.1,-0.8521058,TURN_NONE
0,f12112ba-f1c0-11ee-bada-fb353e7798cd,COMPLETE_AUTO_DRIVE,15.99,1708459287945222474,31.9,-0.8521058,TURN_NONE
0,f12112ba-f1c0-11ee-bada-fb353e7798cd,COMPLETE_AUTO_DRIVE,16.07,1708459287977293292,30.3,-0.83251715,TURN_NONE
0,f12112ba-f1c0-11ee-bada-fb353e7798cd,COMPLETE_AUTO_DRIVE,16.16,1708459288011397943,30.3,-0.78354555,TURN_NONE
0,f12112ba-f1c0-11ee-bada-fb353e7798cd,COMPLETE_AUTO_DRIVE,16.2,1708459288043270078,30.3,-0.7149853,TURN_NONE
