brakePercentage,groupMetadataID,drivingMode,speedMps,time,throttlePercentage,steeringPercentage,signal.turnSignal
0,f41cbd44-eff8-11ee-b966-fb353e7798cd,COMPLETE_MANUAL,2.98,1696349179608815236,0,-81.21449,TURN_NONE
0,f41cbd44-eff8-11ee-b966-fb353e7798cd,COMPLETE_MANUAL,2.98,1696349179634417809,0,-81.10676,TURN_NONE
0,f41cbd44-eff8-11ee-b966-fb353e7798cd,COMPLETE_MANUAL,2.98,1696349179668293100,0,-81.10676,TURN_NONE
0,f41cbd44-eff8-11ee-b966-fb353e7798cd,COMPLETE_MANUAL,3.02,1696349179701277637,0,-80.83252,TURN_NONE
0,f41cbd44-eff8-11ee-b966-fb353e7798cd,COMPLETE_MANUAL,3.03,1696349179732386472,0,-80.53869,TURN_NONE
0,f41cbd44-eff8-11ee-b966-fb353e7798cd,COMPLETE_MANUAL,3.03,1696349179767572943,0,-80,TURN_NONE
0,f41cbd44-eff8-11ee-b966-fb353e7798cd,COMPLETE_MANUAL,3.05,1696349179800348801,0,-79.4809,TURN_NONE
0,f41cbd44-eff8-11ee-b966-fb353e7798cd,COMPLETE_MANUAL,3.06,1696349179832467863,0,-78.86386,TURN_NONE
0,f41cbd44-eff8-11ee-b966-fb353e7798cd,COMPLETE_MANUAL,3.06,1696349179866171723,0,-77.96278,TURN_NONE
0,f41cbd44-eff8-11ee-b966-fb353e7798cd,COMPLETE_MANUAL,3.08,1696349179898456913,0,-77.18903,TURN_NONE
0,f41cbd44-eff8-11ee-b966-fb353e7798cd,COMPLETE_MANUAL,3.09,1696349179932293305,0,-76.0333,TURN_NONE
0,f41cbd44-eff8-11ee-b966-fb353e7798cd,COMPLETE_MANUAL,3.11,1696349179965702176,0,-75.05387,TURN_NONE
0,f41cbd44-eff8-11ee-b966-fb353e7798cd,COMPLETE_MANUAL,3.11,1696349179996220040,0,-74.01567,TURN_NONE
0,f41cbd44-eff8-11ee-b966-fb353e7798cd,COMPLETE_MANUAL,3.14,1696349180030270793,0,-72.52693,TURN_NONE
0,f41cbd44-eff8-11ee-b966-fb353e7798cd,COMPLETE_MANUAL,3.16,1696349180064719469,0,-71.33202,TURN_NONE
0,f41cbd44-eff8-11ee-b966-fb353e7798cd,COMPLETE_MANUAL,3.18,1696349180096539174,0,-69.70617,TURN_NONE
0,f41cbd44-eff8-11ee-b966-fb353e7798cd,COMPLETE_MANUAL,3.18,1696349180130309161,0,-68.472084,TURN_NONE
0,f41cbd44-eff8-11ee-b966-fb353e7798cd,COMPLETE_MANUAL,3.2,1696349180162278432,0,-67.29677,TURN_NONE
0,f41cbd44-eff8-11ee-b966-fb353e7798cd,COMPLETE_MANUAL,3.22,1696349180196229498,0,-65.788445,TURN_NONE
0,f41cbd44-eff8-11ee-b966-fb353e7798cd,COMPLETE_MANUAL,3.23,1696349180228318699,0,-64.70127,TURN_NONE
0,f41cbd44-eff8-11ee-b966-fb353e7798cd,COMPLETE_MANUAL,3.25,1696349180262223056,0,-63.31048,TURN_NONE
0,f41cbd44-eff8-11ee-b966-fb353e7798cd,COMPLETE_MANUAL,3.26,1696349180294569493,0,-62.321255,TURN_NONE
0,f41cbd44-eff8-11ee-b966-fb353e7798cd,COMPLETE_MANUAL,3.26,1696349180328382926,0,-61.332027,TURN_NONE
0,f41cbd44-eff8-11ee-b966-fb353e7798cd,COMPLETE_MANUAL,3.27,1696349180360286137,0,-60.11753,TURN_NONE
0,f41cbd44-eff8-11ee-b966-fb353e7798cd,COMPLETE_MANUAL,3.28,1696349180396732531,0,-59.265427,TURN_NONE
0,f41cbd44-eff8-11ee-b966-fb353e7798cd,COMPLETE_MANUAL,3.29,1696349180426554386,0,-58.05093,TURN_NONE
0,f41cbd44-eff8-11ee-b966-fb353e7798cd,COMPLETE_MANUAL,3.31,1696349180460452206,0,-57.15965,TURN_NONE
0,f41cbd44-eff8-11ee-b966-fb353e7798cd,COMPLETE_MANUAL,3.31,1696349180492477466,0,-56.013714,TURN_NONE
0,f41cbd44-eff8-11ee-b966-fb353e7798cd,COMPLETE_MANUAL,3.32,1696349180527123079,0,-55.12243,TURN_NONE
0,f41cbd44-eff8-11ee-b966-fb353e7798cd,COMPLETE_MANUAL,3.32,1696349180558428461,0,-55.12243,TURN_NONE
0,f41cbd44-eff8-11ee-b966-fb353e7798cd,COMPLETE_MANUAL,3.32,1696349180592491766,0,-53.03624,TURN_NONE
0,f41cbd44-eff8-11ee-b966-fb353e7798cd,COMPLETE_MANUAL,3.32,1696349180624485042,0,-53.03624,TURN_NONE
0,f41cbd44-eff8-11ee-b966-fb353e7798cd,COMPLETE_MANUAL,3.32,1696349180658426761,0,-51.243877,TURN_NONE
0,f41cbd44-eff8-11ee-b966-fb353e7798cd,COMPLETE_MANUAL,3.32,1696349180690419897,0,-50.097942,TURN_NONE
0,f41cbd44-eff8-11ee-b966-fb353e7798cd,COMPLETE_MANUAL,3.32,1696349180724472625,0,-50.097942,TURN_NONE
0,f41cbd44-eff8-11ee-b966-fb353e7798cd,COMPLETE_MANUAL,3.33,1696349180756423517,0,-48.16846,TURN_NONE
0,f41cbd44-eff8-11ee-b966-fb353e7798cd,COMPLETE_MANUAL,3.33,1696349180790560979,0,-48.16846,TURN_NONE
0,f41cbd44-eff8-11ee-b966-fb353e7798cd,COMPLETE_MANUAL,3.33,1696349180822543587,0,-47.36533,TURN_NONE
0,f41cbd44-eff8-11ee-b966-fb353e7798cd,COMPLETE_MANUAL,3.33,1696349180856440619,0,-46.562195,TURN_NONE
0,f41cbd44-eff8-11ee-b966-fb353e7798cd,COMPLETE_MANUAL,3.33,1696349180888562272,0,-45.514202,TURN_NONE
0,f41cbd44-eff8-11ee-b966-fb353e7798cd,COMPLETE_MANUAL,3.33,1696349180922440549,0,-44.730656,TURN_NONE
0,f41cbd44-eff8-11ee-b966-fb353e7798cd,COMPLETE_MANUAL,3.33,1696349180954484979,0,-43.70225,TURN_NONE
0,f41cbd44-eff8-11ee-b966-fb353e7798cd,COMPLETE_MANUAL,3.33,1696349180996091815,0,-42.938297,TURN_NONE
0,f41cbd44-eff8-11ee-b966-fb353e7798cd,COMPLETE_MANUAL,3.33,1696349181021105236,0,-42.18413,TURN_NONE
0,f41cbd44-eff8-11ee-b966-fb353e7798cd,COMPLETE_MANUAL,3.33,1696349181052450685,0,-41.19491,TURN_NONE
0,f41cbd44-eff8-11ee-b966-fb353e7798cd,COMPLETE_MANUAL,3.33,1696349181086438457,0,-40.401566,TURN_NONE
0,f41cbd44-eff8-11ee-b966-fb353e7798cd,COMPLETE_MANUAL,3.33,1696349181120615446,0,-39.36337,TURN_NONE
0,f41cbd44-eff8-11ee-b966-fb353e7798cd,COMPLETE_MANUAL,3.33,1696349181152529573,0,-38.579823,TURN_NONE
0,f41cbd44-eff8-11ee-b966-fb353e7798cd,COMPLETE_MANUAL,3.33,1696349181186428997,0,-37.51224,TURN_NONE
