brakePercentage,groupMetadataID,drivingMode,speedMps,time,throttlePercentage,steeringPercentage,signal.turnSignal
0,f711e68e-f0e1-11ee-ba1f-fb353e7798cd,COMPLETE_MANUAL,11.85,1701976388704068169,37.4,-0.21547502,TURN_NONE
0,f711e68e-f0e1-11ee-ba1f-fb353e7798cd,COMPLETE_MANUAL,11.95,1701976388737166049,37.4,-0.21547502,TURN_NONE
0,f711e68e-f0e1-11ee-ba1f-fb353e7798cd,COMPLETE_MANUAL,12.07,1701976388768970115,37.2,-0.21547502,TURN_NONE
0,f711e68e-f0e1-11ee-ba1f-fb353e7798cd,COMPLETE_MANUAL,12.13,1701976388801667313,37.2,-0.23506366,TURN_NONE
0,f711e68e-f0e1-11ee-ba1f-fb353e7798cd,COMPLETE_MANUAL,12.21,1701976388834841273,36.7,-0.2546523,TURN_NONE
0,f711e68e-f0e1-11ee-ba1f-fb353e7798cd,COMPLETE_MANUAL,12.29,1701976388866840152,36.7,-0.2546523,TURN_NONE
0,f711e68e-f0e1-11ee-ba1f-fb353e7798cd,COMPLETE_MANUAL,12.33,1701976388900720867,36.5,-0.26444662,TURN_NONE
0,f711e68e-f0e1-11ee-ba1f-fb353e7798cd,COMPLETE_MANUAL,12.37,1701976388943828352,36.3,-0.26444662,TURN_NONE
0,f711e68e-f0e1-11ee-ba1f-fb353e7798cd,COMPLETE_MANUAL,12.43,1701976388967914987,36.3,-0.26444662,TURN_NONE
0,f711e68e-f0e1-11ee-ba1f-fb353e7798cd,COMPLETE_MANUAL,12.43,1701976388999471544,36.3,-0.26444662,TURN_NONE
0,f711e68e-f0e1-11ee-ba1f-fb353e7798cd,COMPLETE_MANUAL,12.55,1701976389034144831,36.3,-0.26444662,TURN_NONE
0,f711e68e-f0e1-11ee-ba1f-fb353e7798cd,COMPLETE_MANUAL,12.55,1701976389068249551,36.3,-0.26444662,TURN_NONE
0,f711e68e-f0e1-11ee-ba1f-fb353e7798cd,COMPLETE_MANUAL,12.61,1701976389098023907,36.3,-0.26444662,TURN_NONE
0,f711e68e-f0e1-11ee-ba1f-fb353e7798cd,COMPLETE_MANUAL,12.67,1701976389139906065,36.3,-0.26444662,TURN_NONE
0,f711e68e-f0e1-11ee-ba1f-fb353e7798cd,COMPLETE_MANUAL,12.73,1701976389164330545,36.3,-0.26444662,TURN_NONE
0,f711e68e-f0e1-11ee-ba1f-fb353e7798cd,COMPLETE_MANUAL,12.77,1701976389199894293,36.3,-0.26444662,TURN_NONE
0,f711e68e-f0e1-11ee-ba1f-fb353e7798cd,COMPLETE_MANUAL,12.85,1701976389230618069,36.3,-0.26444662,TURN_NONE
0,f711e68e-f0e1-11ee-ba1f-fb353e7798cd,COMPLETE_MANUAL,12.9,1701976389263479953,36.3,-0.26444662,TURN_NONE
0,f711e68e-f0e1-11ee-ba1f-fb353e7798cd,COMPLETE_MANUAL,12.93,1701976389297506615,36.3,-0.26444662,TURN_NONE
0,f711e68e-f0e1-11ee-ba1f-fb353e7798cd,COMPLETE_MANUAL,13,1701976389329231976,36.3,-0.26444662,TURN_NONE
0,f711e68e-f0e1-11ee-ba1f-fb353e7798cd,COMPLETE_MANUAL,13.07,1701976389360214296,36.3,-0.26444662,TURN_NONE
0,f711e68e-f0e1-11ee-ba1f-fb353e7798cd,COMPLETE_MANUAL,13.07,1701976389394182914,36.3,-0.26444662,TURN_NONE
0,f711e68e-f0e1-11ee-ba1f-fb353e7798cd,COMPLETE_MANUAL,13.15,1701976389427995829,36.3,-0.26444662,TURN_NONE
0,f711e68e-f0e1-11ee-ba1f-fb353e7798cd,COMPLETE_MANUAL,13.22,1701976389475337279,36.3,-0.26444662,TURN_NONE
0,f711e68e-f0e1-11ee-ba1f-fb353e7798cd,COMPLETE_MANUAL,13.29,1701976389492234540,36.3,-0.26444662,TURN_NONE
0,f711e68e-f0e1-11ee-ba1f-fb353e7798cd,COMPLETE_MANUAL,13.33,1701976389526163815,36.3,-0.2546523,TURN_NONE
0,f711e68e-f0e1-11ee-ba1f-fb353e7798cd,COMPLETE_MANUAL,13.33,1701976389560120631,36.3,-0.2546523,TURN_NONE
0,f711e68e-f0e1-11ee-ba1f-fb353e7798cd,COMPLETE_MANUAL,13.45,1701976389592630507,36.3,-0.2546523,TURN_NONE
0,f711e68e-f0e1-11ee-ba1f-fb353e7798cd,COMPLETE_MANUAL,13.45,1701976389624226868,36.3,-0.2546523,TURN_NONE
0,f711e68e-f0e1-11ee-ba1f-fb353e7798cd,COMPLETE_MANUAL,13.48,1701976389664041211,36.3,-0.2546523,TURN_NONE
0,f711e68e-f0e1-11ee-ba1f-fb353e7798cd,COMPLETE_MANUAL,13.63,1701976389693660147,36.3,-0.23506366,TURN_NONE
0,f711e68e-f0e1-11ee-ba1f-fb353e7798cd,COMPLETE_MANUAL,13.68,1701976389724642401,36.3,-0.23506366,TURN_NONE
0,f711e68e-f0e1-11ee-ba1f-fb353e7798cd,COMPLETE_MANUAL,13.68,1701976389758289490,36.3,-0.23506366,TURN_NONE
0,f711e68e-f0e1-11ee-ba1f-fb353e7798cd,COMPLETE_MANUAL,13.76,1701976389792596480,36.3,-0.23506366,TURN_NONE
0,f711e68e-f0e1-11ee-ba1f-fb353e7798cd,COMPLETE_MANUAL,13.84,1701976389824393335,36.3,-0.2546523,TURN_NONE
0,f711e68e-f0e1-11ee-ba1f-fb353e7798cd,COMPLETE_MANUAL,13.84,1701976389856293999,36.3,-0.2546523,TURN_NONE
0,f711e68e-f0e1-11ee-ba1f-fb353e7798cd,COMPLETE_MANUAL,13.92,1701976389897151055,36.3,-0.37218413,TURN_NONE
0,f711e68e-f0e1-11ee-ba1f-fb353e7798cd,COMPLETE_MANUAL,13.98,1701976389923480528,36.3,-0.52889323,TURN_NONE
0,f711e68e-f0e1-11ee-ba1f-fb353e7798cd,COMPLETE_MANUAL,13.98,1701976389955409826,36.3,-0.52889323,TURN_NONE
0,f711e68e-f0e1-11ee-ba1f-fb353e7798cd,COMPLETE_MANUAL,13.98,1701976389989779955,36.3,-0.52889323,TURN_NONE
0,f711e68e-f0e1-11ee-ba1f-fb353e7798cd,COMPLETE_MANUAL,14.09,1701976390021180127,36.3,-0.9010774,TURN_NONE
0,f711e68e-f0e1-11ee-ba1f-fb353e7798cd,COMPLETE_MANUAL,14.09,1701976390056589273,36.3,-0.9010774,TURN_NONE
0,f711e68e-f0e1-11ee-ba1f-fb353e7798cd,COMPLETE_MANUAL,14.2,1701976390087356038,36.3,-1.0186092,TURN_NONE
0,f711e68e-f0e1-11ee-ba1f-fb353e7798cd,COMPLETE_MANUAL,14.23,1701976390126764332,36.3,-1.0186092,TURN_NONE
