brakePercentage,groupMetadataID,drivingMode,speedMps,time,throttlePercentage,steeringPercentage,signal.turnSignal
0,f9d62032-db2a-11ee-a158-97f8443fd730,EMERGENCY_MODE,0,1692287623652324720,0,35.700294,TURN_NONE
0,f9d62032-db2a-11ee-a158-97f8443fd730,EMERGENCY_MODE,0,1692287623690514087,0,35.700294,TURN_NONE
0,f9d62032-db2a-11ee-a158-97f8443fd730,EMERGENCY_MODE,0,1692287623720778006,0,35.700294,TURN_NONE
0,f9d62032-db2a-11ee-a158-97f8443fd730,EMERGENCY_MODE,0,1692287623754088706,0,35.700294,TURN_NONE
0,f9d62032-db2a-11ee-a158-97f8443fd730,EMERGENCY_MODE,0,1692287623787877709,0,35.700294,TURN_NONE
0,f9d62032-db2a-11ee-a158-97f8443fd730,EMERGENCY_MODE,0,1692287623825618182,0,35.700294,TURN_NONE
0,f9d62032-db2a-11ee-a158-97f8443fd730,EMERGENCY_MODE,0,1692287623850460732,0,35.700294,TURN_NONE
0,f9d62032-db2a-11ee-a158-97f8443fd730,EMERGENCY_MODE,0,1692287623884751914,0,35.700294,TURN_NONE
0,f9d62032-db2a-11ee-a158-97f8443fd730,EMERGENCY_MODE,0,1692287623920036711,0,35.700294,TURN_NONE
0,f9d62032-db2a-11ee-a158-97f8443fd730,EMERGENCY_MODE,0,1692287623951953401,0,35.700294,TURN_NONE
0,f9d62032-db2a-11ee-a158-97f8443fd730,EMERGENCY_MODE,0,1692287623984322167,0,35.700294,TURN_NONE
0,f9d62032-db2a-11ee-a158-97f8443fd730,EMERGENCY_MODE,0,1692287624017917777,0,35.700294,TURN_NONE
0,f9d62032-db2a-11ee-a158-97f8443fd730,EMERGENCY_MODE,0,1692287624050139917,0,35.700294,TURN_NONE
0,f9d62032-db2a-11ee-a158-97f8443fd730,EMERGENCY_MODE,0,1692287624083874849,0,35.700294,TURN_NONE
0,f9d62032-db2a-11ee-a158-97f8443fd730,EMERGENCY_MODE,0,1692287624123877763,0,35.700294,TURN_NONE
0,f9d62032-db2a-11ee-a158-97f8443fd730,EMERGENCY_MODE,0,1692287624149676660,0,35.700294,TURN_NONE
0,f9d62032-db2a-11ee-a158-97f8443fd730,EMERGENCY_MODE,0,1692287624183641093,0,35.700294,TURN_NONE
0,f9d62032-db2a-11ee-a158-97f8443fd730,EMERGENCY_MODE,0,1692287624226377943,0,35.700294,TURN_NONE
0,f9d62032-db2a-11ee-a158-97f8443fd730,EMERGENCY_MODE,0,1692287624253280792,0,35.700294,TURN_NONE
0,f9d62032-db2a-11ee-a158-97f8443fd730,EMERGENCY_MODE,0,1692287624280707715,0,35.700294,TURN_NONE
0,f9d62032-db2a-11ee-a158-97f8443fd730,EMERGENCY_MODE,0,1692287624318591404,0,35.700294,TURN_NONE
0,f9d62032-db2a-11ee-a158-97f8443fd730,EMERGENCY_MODE,0,1692287624346542299,0,35.700294,TURN_NONE
0,f9d62032-db2a-11ee-a158-97f8443fd730,EMERGENCY_MODE,0,1692287624384749821,0,35.700294,TURN_NONE
0,f9d62032-db2a-11ee-a158-97f8443fd730,EMERGENCY_MODE,0,1692287624412978364,0,35.700294,TURN_NONE
0,f9d62032-db2a-11ee-a158-97f8443fd730,EMERGENCY_MODE,0,1692287624445603174,0,35.700294,TURN_NONE
0,f9d62032-db2a-11ee-a158-97f8443fd730,EMERGENCY_MODE,0,1692287624478989769,0,35.700294,TURN_NONE
0,f9d62032-db2a-11ee-a158-97f8443fd730,EMERGENCY_MODE,0,1692287624510410633,0,35.700294,TURN_NONE
0,f9d62032-db2a-11ee-a158-97f8443fd730,EMERGENCY_MODE,0,1692287624544862570,0,35.700294,TURN_NONE
