groupMetadataID,event,time,position.alt_msl,position.latitude,position.longitude,type
fcc6fcd2-f013-11ee-b966-fb353e7798cd,oscillation more than road curvature,1696357886265974268,,,,['NOT_DISENGAGEMENT']
fcc6fcd2-f013-11ee-b966-fb353e7798cd,left onto center line,1696357949311143847,,,,['LOCALIZATION']
fcc6fcd2-f013-11ee-b966-fb353e7798cd,hit center line rumbles,1696358251903555304,,,,['LOCALIZATION']
fcc6fcd2-f013-11ee-b966-fb353e7798cd,did not see walker on other side of the road,1696358274328993172,,,,['OTHER']
fcc6fcd2-f013-11ee-b966-fb353e7798cd,recategorize last as non-disengagement for walker on other side of the road,1696358305910069495,,,,['NOT_DISENGAGEMENT']
fcc6fcd2-f013-11ee-b966-fb353e7798cd,drifting towards oncoming traffic,1696358623327772507,,,,['LOCALIZATION']
fcc6fcd2-f013-11ee-b966-fb353e7798cd,,1696358784946543124,,,,['LOCALIZATION']
fcc6fcd2-f013-11ee-b966-fb353e7798cd,cross traffic timing,1696359000853932502,,,,['OBJ_DETECTION']
fcc6fcd2-f013-11ee-b966-fb353e7798cd,oscillation,1696359058648913738,,,,['NOT_DISENGAGEMENT']
fcc6fcd2-f013-11ee-b966-fb353e7798cd,oscillation continues,1696359122848655059,,,,['NOT_DISENGAGEMENT']
fcc6fcd2-f013-11ee-b966-fb353e7798cd,oscillation,1696359169013998836,,,,['NOT_DISENGAGEMENT']
fcc6fcd2-f013-11ee-b966-fb353e7798cd,oscillation,1696359263022385044,,,,['NOT_DISENGAGEMENT']
fcc6fcd2-f013-11ee-b966-fb353e7798cd,dump truck right behind us approaching slow down for offramp,1696359299834079643,,,,['INTENTIONAL']
fcc6fcd2-f013-11ee-b966-fb353e7798cd,twitch right before bridge,1696359412884924539,,,,['LOCALIZATION']
fcc6fcd2-f013-11ee-b966-fb353e7798cd,map issue to avoid hitting curb,1696359539446014144,,,,['INTENTIONAL']
fcc6fcd2-f013-11ee-b966-fb353e7798cd,,1696359546190321138,,,,['EOR']
