groupMetadataID,event,time,position.alt_msl,position.latitude,position.longitude,type
fe973c9c-f53c-11ee-8afa-cb629b0d53e6,ctr ln,1697570044548491913,,,,['LOCALIZATION']
fe973c9c-f53c-11ee-8afa-cb629b0d53e6,crt ln,1697570150792031631,,,,['LOCALIZATION']
fe973c9c-f53c-11ee-8afa-cb629b0d53e6,crt ln + curve + oncoming traffic,1697570192865462303,,,,['LOCALIZATION']
fe973c9c-f53c-11ee-8afa-cb629b0d53e6,ctr ln,1697570222780557904,,,,['LOCALIZATION']
fe973c9c-f53c-11ee-8afa-cb629b0d53e6,ctr ln,1697570285590048066,,,,['LOCALIZATION']
fe973c9c-f53c-11ee-8afa-cb629b0d53e6,school bus,1697570307172359921,,,,['OTHER']
fe973c9c-f53c-11ee-8afa-cb629b0d53e6,ctr ln,1697570448604311301,,,,['LOCALIZATION']
fe973c9c-f53c-11ee-8afa-cb629b0d53e6,,1697570538765268173,,,,['LOCALIZATION']
fe973c9c-f53c-11ee-8afa-cb629b0d53e6,ctr ln,1697570596156636925,,,,['LOCALIZATION']
fe973c9c-f53c-11ee-8afa-cb629b0d53e6,ctr ln,1697570665388509297,,,,['LOCALIZATION']
fe973c9c-f53c-11ee-8afa-cb629b0d53e6,,1697570735771653582,,,,['OBJ_DETECTION']
fe973c9c-f53c-11ee-8afa-cb629b0d53e6,,1697570803338307073,,,,['OBJ_DETECTION']
fe973c9c-f53c-11ee-8afa-cb629b0d53e6,over iron plates,1697570904993083608,,,,['NOT_DISENGAGEMENT']
fe973c9c-f53c-11ee-8afa-cb629b0d53e6,red fault,1697571080235203116,,,,
fe973c9c-f53c-11ee-8afa-cb629b0d53e6,anchor for passing traffic,1697571125883343355,,,,['TRAFFIC_FAULT']
fe973c9c-f53c-11ee-8afa-cb629b0d53e6,slight swerve for passing traffic,1697571150387313409,,,,
fe973c9c-f53c-11ee-8afa-cb629b0d53e6,safety,1697571286470092787,,,,['TRAFFIC_FAULT']
fe973c9c-f53c-11ee-8afa-cb629b0d53e6,,1697571588668172443,,,,['EOR']
